プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,少年ペーター,狂人,リズー！　あそｂ・・・あれ、いないのか？[...はリーザを捜し回っている]
プロローグ,青年ヨアヒム,人狼,やぁ、ペーター君。今日も元気だね。リーザちゃんなら、さっき村の外におつかいに行ったみたいだよ？
プロローグ,青年ヨアヒム,人狼,君たちは本当に仲が良いね。僕も昔はよくパメラと遊んだよ。懐かしいな。とりあえず議題だよ。■1.コアタイム■2.仮決定/本決定時間■3.やりたいこと/やりたくないこと■4.自己紹介□5.この村の改善点
プロローグ,青年ヨアヒム,人狼,■1.21時頃からは箱で入れると思う。昼も鳩から入れるかも。■2.仮0:00本0:30■3.みんなで楽しくやりたいね。ギスギスした空気は好きじゃないし。■4.ヨアヒムだよ。村の外の大学に通ってるんだ。最近、村の人がどんどん都会に出ちゃって寂しいな。「消え行く村」なんて呼ばれてるみたいだけど、僕たちで村を盛り上げていきたいね。□5.コンビニが一軒も無いってのは、やっぱり不便だよね…
プロローグ,青年ヨアヒム,人狼,人もいないみたいだし、少し出かけてくるね。帰る頃には賑やかになってるといいな。…パメラも来てくれるといいんだけど…
プロローグ,少年ペーター,狂人,あ、ヨア兄ありがとう。■1.10:00～1:00はほぼ確実にいるよ。■2.仮決定は0:00で本決定は0:30くらい。■3.うーん・・・おれトツゼンシとかいう流行病とかで死にたくないし、みんなも体大事にしてほしい。■4.都会の何がそんなにいいんだろうな。おれはじじいになってこの村に骨埋めるって決めてるから分かんないや。□5.人狼がいることかな？　・・・いっそ人狼に村盛り立ててもらう？
プロローグ,村娘パメラ,村人,消え去り往くもまた運命・・・だけど、ただ消えるだけじゃなくて出来うる限りのことはしたいよね。今回みんなが集まってるのはその理由じゃないけどね・・・。
プロローグ,旅人ニコラス,村人,ヒャッハー！明かりだぁ！ゴホン。失礼。昨晩から歩きっぱなしだったものでつい取り乱してしまいました。はばからずに言わせていただくと、ちょっと寂しい村ですね。宿屋はありますでしょうか。温かい布団で眠りたい……
プロローグ,村娘パメラ,村人,ん？これは所謂問診表ってやつなのかな？えーっと。■1.基本不定期だよー、覗けるタイミングで細かく覗く感じ、更新時間周りは必ず確認するけどね。■2.この辺はお任せ、仮決定から本決定までの時間は1時間ほど取った方がごたついた時に対処しやすいと思う。■3.まあものがものだから、今はやり合っても全てが終わった時には笑っていたいよね。つまり事の最中は全力でぶつかろうって話なんだけど。うんそういう事。
プロローグ,村娘パメラ,村人,■4.殊更説明するほどでも無いけどね、村の裏手にある森の・・・まあ守り人みたいな事をやってるよ。ヨアとは所謂幼馴染。二人で森の中でいろいろと遊んだよね・・・。□5.無理に盛り立ててこの村の良さを失ってしまうなら、いっそそのまま消えてしまうのもいいんじゃないかな。この村の良さを生かさなければ盛り立ては意味がないよ。他と同じじゃ誰も見てくれない、違いを見せないとね。
プロローグ,司書クララ,村人,はあ…本と一緒に引き篭もりたい…。
プロローグ,村娘パメラ,村人,あら旅人さん、この村にようこそ。まあ元々あまり知られていない村ですからね、何か目立ったものというのは無いんですよ。強いて言うなれば、自然の恵みは豊富にありますよ。えっと、宿はそちらです。あー・・・レジーナさんはいるかな？まあ中で休んでても大丈夫だと思いますよ。事情とかは私から言っておきますので。
プロローグ,司書クララ,村人,■1.不定期かしら。21時以降はたぶん、いると思うわ。■2.仮決定23:30 / 本決定時間24:00ぐらいかしら？■3.あの、お手柔らかに…。■4.いつも図書館に…引き篭もってます。ちゃ、ちゃんと働いてますよ？□5.もっと図書館の本を充実させていただきたいです。ずっと本に埋もれていたい…。
プロローグ,旅人ニコラス,村人,おぉ、ご丁寧にありがとうございます。明日明るい時間に景色を見るのが楽しみです。宿の主人、レジーナさん？はいないようですが、宿帳に記入しておきますね。■1.22時以降は箱でINできると思います。昼間も不定期に鳩飛ばせるかな。
プロローグ,旅人ニコラス,村人,■2.仮決定11：45/本決定12：30。あくまで希望。よそ者なので、村の方針に従いますよ。■3.滞在するからには少しでも村の雰囲気を明るくして村を出たいですね。そんな感じです。■4.ニコラス3世と申します。なに、ただの流れ者ですよ。この村に来る前はムー○ン村に滞在していました。興味があればふんだんに脚色してお話しますので聞いてくださいな。□5.温泉掘りましょう。
プロローグ,村娘パメラ,村人,クララはそんなこと言わずに外に出ようよー。森の風とか肌に感じれば気持ちがいいよ？あと人と話せば新しい本のこともきけるかもしれないじゃない。ほら丁度旅人さんも来てるんだし、いろいろと聞いてみたら？ん～ちょっと森の様子でも見てこようかな、ついでに山菜とか木の実でも取ってこよう。お客さんもいらしてるし、ね？
プロローグ,村長ヴァルター,村人,村長である。村が消え行くだと！？まるで私の村政が悪いせいみたいではないか。
プロローグ,司書クララ,村人,パメラ…私、外は怖いわ。だって道は石ころだらけでちょっと歩いただけですぐ躓いてしまうのよ。怪我をしたらどうしよう。人と話すのも怖いわ。だって何を考えているか分からないじゃない？本の世界なら、誰が何を考えているのかすぐ分かって安心よ。
プロローグ,羊飼いカタリナ,村人,消え行くだなんて、そんな大げさな・・・そんなことより、今日もひつじさん可愛いなぁー！
プロローグ,司書クララ,村人,あ、えっと…旅人さんと村長さん、こんばんは…。…あ、わ、私…しばらく本を読むのに没頭するわ。
プロローグ,司書クララ,村人,カ、カタリナさん…こんばんは。ひつじさん、可愛いわね…。え、えっと…こ、今度こそ本に集中…！
プロローグ,羊飼いカタリナ,村人,これは…回覧板？記入しときましょうか。■1.不定期ね…■2.仮決定23:30/本決定24:00がいいかしら…■3.暗い雰囲気は嫌ね、あと刺々しいのも嫌。明るくいきたいですね、そう！このひつじさんのようにっ！■4.ひつじさんを愛してやまない女の子です。どうぞよろしく！□5.ひつじさんが元気で暮らせれば何でもいいわ。
プロローグ,羊飼いカタリナ,村人,クララさん、こんばんは。可愛いでしょう！あなた、ひつじさんは好きかしら？
プロローグ,少年ペーター,狂人,大丈夫だって村長、いつかおれが継いで村政やってやるから消えないよ。・・・この村はずれの宿もレジ姉のだったんだな。普段ひとけがないから忘れてた。○0（・・・一部分秘密基地扱いして色々罠仕掛けたんだよな・・・さっさと解除してこよ）
プロローグ,宿屋の女主人レジーナ,人狼,だったんだなって、まだ過去形にするのは早いよ。まだ、ね。
プロローグ,シスターフリーデル,霊能者,ごきげんよう。尊き神の言葉を広めに参りましたわ･･･。「消え行く村」なんて不吉な響きですわ。慈悲にすがりましょう。
プロローグ,宿屋の女主人レジーナ,人狼,■1.夜には大体居るわよ■2.仮決定は２３：４５、本決定は２４；１５でどうだい？■3.まぁ、楽しくやろうさ。出れば盛大に騒ごうじゃないか。■4.この宿の主レジーナだよ。まぁ、こんな寂れた村じゃやっていけないからそろそろ都会の息子夫婦のとこに厄介になるつもりさ。持っていけるもんや金にならないもんは全部おいてくし、食料品なんかは安く売ってあげるよ。
プロローグ,宿屋の女主人レジーナ,人狼,まぁ、村長が悪いっていうわけじゃないけどね、どうにも駄目さ。今月に入って客が二桁に届かないようじゃやってけないよ。客なら好きなだけ止まりな。来週からはどうせ空き家さ。ただそれまでの宿泊費はきっちりもらうからね。
