プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,少女リーザ,狂人,22:45に寝落ちするわけないじゃん。みんなおおげさだなぁ
プロローグ,青年ヨアヒム,村人,ネオチーはどこにでもいるんだよ。そう、君の後ろにもね
プロローグ,パン屋オットー,人狼,何言ってるんだよヨアヒム。そんな話僕が信じるわけ、——……ッ！
プロローグ,宿屋の女主人レジーナ,狩人,ｽﾔｧ…
プロローグ,木こりトーマス,霊能者,肉布団をご所望ですか───ｧｯ!(不定期、日中深夜以外。週末は鳩中心になるぞ)
プロローグ,木こりトーマス,霊能者,(皆、闇の女神に愛されているのか…？ 仮決定や本決定とやらが必用になるなら、1H前/0.5h前で意思を出しとくんだな。初日の沈黙時間とやらはするのか？ 俺は1h位なら協力出来そうだが)
プロローグ,少女リーザ,狂人,仮決定や本決定とやらは1H前/0.5h前で良いとおもうー｡oO(えっと、初日寡黙時間って？)
プロローグ,木こりトーマス,霊能者,やあ、リーザ。一緒に夜更ししようぜ。(今日フルメンは難しそうか。初日寡黙…潜伏と間違えたか？ 狼側に相談時間を与えるとか言うやつ。1hなり相談時間を決めて村はその間、いきなりのなんちゃらを控えるといった。あまり狼利に働いた論文はしらないから、同意があれば使うのもいいかなと。というか初日顔合わせがあるまでしゃべることないような状況が辛いというだけだったりもする)
プロローグ,少女リーザ,狂人,わーいトーマスさんだーえーとロケット花火でしたっけ？人に向けると危ないよね(>_<)わたしはおっけぇ｡oO(他に3村あるから今日は無理っぽい感じね･･･)
プロローグ,青年ヨアヒム,村人,狼の相談時間作るなら、15分沈黙の23時スタートでいいんじゃないかな？キリいいし。今日は始まらなそうだね、僕はネオチーに取り憑かr…zzz
プロローグ,少女リーザ,狂人,ヨアヒムさん頭いい～23時って良い子はちょうど眠くなる時間だよねわたしは大丈夫!ネオチーにまけないもん
プロローグ,少女リーザ,狂人,あ、寡黙時間って言っても告白しないタイムって意味でテキトーに話すのはいいんだよね？黙ってられる自信ないなぁー
プロローグ,木こりトーマス,霊能者,ヨア頭良いな！じゃあ俺は23に…だとなにかに触れるのか？まあ、今くらいの時間にも鳩に餌が残ってればいいんだな！       
プロローグ,青年ヨアヒム,村人,どうだろうね？そんなのめんどくさい！って人がいればなしでもいいし、もうちょっと人が来たら決めればいいんじゃないかな？僕もやったことないんだよねえ。
プロローグ,少女リーザ,狂人,サクッと告白も味気ないし･･･ちょっと出遅れて焦っちゃうのも嫌だもんねみんな集まって来たら考えてみたいねー
プロローグ,木こりトーマス,霊能者,じゃあ、俺は今日始まっても15分お口チャックするけどおおめに見てな
プロローグ,木こりトーマス,霊能者,雑談は大好きなんだが。ヨアのつむじやら、リーザの文房具やらの話題になると熱中しそうでな。狼やらフェネックやらが出ても対応できなさそうな
プロローグ,少女リーザ,狂人,･･･文房具!?文房具･･･うーん、折れないシャーペンってホントに折れないの？
プロローグ,少女リーザ,狂人,やっぱり今日は無理だったねー悪霊退散♪悪霊退散♪睡魔ネオチーは陰陽師のわたしが退治するの!またあしたーｽﾔｧ…
プロローグ,青年ヨアヒム,村人,折れないシャーペンは使ったことないな。勝手に尖るやつは僕には合わなかった。
プロローグ,パン屋オットー,人狼,沈黙時間に雑談しちゃうと、雑談してない人=赤窓で会話してる、って思われちゃうから基本的には完全沈黙（一切白ログで発言しない）が一般的じゃないかな。灰はもちろん自由。人が集まってきたら決めればいいと思うよ。一人でも反対する人がいたら沈黙時間なしでいいんじゃない？
