プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,旅人ニコラス,村人,また村が一つ死んだ。[…は狼の遠吠えを聞いた。]行こう、ここもじき人狼の牙に沈む。
プロローグ,老人モーリッツ,村人,旅>>2おーー！！これは辺境一の剣士、ニコ殿ではありませんか！谷の底に、よくお越しいただきましたまた異国での旅の話しを教えて下され
プロローグ,老人モーリッツ,村人,ところで、うちの姫さまをご存知ありませんかまた、人狼あそびでもしてるのでしょうか・・・まったく、城オジのわしの身にもなってもらいたいものだ
プロローグ,羊飼いカタリナ,人狼,ユパさまー！…じゃなくて、ニコさまー！あら、キツネリスね？…ほら、怖がらないで…？ニコさまっ、この子、私にくださらない？>>4もう、モーリったら…いつまでも私は子供じゃないわ？谷底の村の長、汁…じゃなかった…ジルの娘ですもの
プロローグ,少女リーザ,霊能者,おおじじさま、狼なんてリザ怖いの。あっニコさまだー。リナリナ、狼は怖いけどキツネリスは好きなの。オームが怒ってる・・・泣
プロローグ,少女リーザ,霊能者,村名考えたの【風の谷の】狼と共存した村【カタリナ】なの。これでリナリナの活躍必死なの♪
プロローグ,旅人ニコラス,村人,>>3ミ…モーリッツ、久しぶりだな。皆も息災か？>>5ナウ…カタリナ！ 見間違えたぞ。礼を言わねばならぬ。よい羊飼いになったな。キツネリスか…こいつが狼に攫われたのを人の子と間違えてな、つい銃を使ってしまったのだ。こいつが欲しいのか…構わんが、チビのくせに狂暴なやつだ。気を付けるのだよ。ところで、そなたの父君はヴァルという名ではなかったかな？
プロローグ,旅人ニコラス,村人,>>6リズ、カタリナのことは姫様と呼んで大事にしてやっておくれ。色々フラグが立ってしまったから、これから大変になるであろうよ。>>7早すぎ…いや、何でもない。(これは他の人のセリフだったな。)
プロローグ,旅人ニコラス,村人,あまりやり過ぎると他の者が入りにくいかも知れぬな。今後は気を付けるとしよう。他の村ではこんな回覧板を回しておったぞ。■1.コアタイム■2.仮決定／本決定の希望時間■3.やりたいこと／やりたくないこと■4.自己紹介□5.好きなジブリ作品
プロローグ,旅人ニコラス,村人,セルフ回答だ。■1.不定期■2.6:15/6:45■3.エピでは人と狼が仲良くできる村にしたいな。流行り病は避けたいものだ。■4.辺境の剣士ニコラスだ。というと強そうだと思われるかもしれぬが、つい村名に釣られてしまっただけだからな。今もだが、朝は鳩からになるかもしれぬ。賢いやつではあるが。□5.定番だがやはりナウシカだな。魔女の宅急便を男友達と二人で映画館に見に行ったのは苦い思い出だ
プロローグ,村娘パメラ,村人,（ばたんっ）…、あ、あなたがモーリッツさん…？お、お願いします！　私をこの村で働かせて下さい！ここで働きたいんです！
プロローグ,村娘パメラ,村人,あ、エントリーシートですか？　わかりました！■1.18時～24時がコアタイムです！　深夜勤務も行けます■2.0:00／6:00が理想的です！■3.積極的に議論参加出来ればと思っています！　全員が気持ちいい村が一番です！■4.パメラです！この村で働かせてください！ここで働きたいんです！□5.ジブリGS　面白　千と千尋＞魔女宅≧トトロ＞ナウシカ＝ラピュタ＞ハウル　あ、うーん…？
プロローグ,青年ヨアヒム,狩人,ふぁーあ……ねむいな……寝てていい？
プロローグ,旅人ニコラス,村人,パメラ、ヨアヒム、おはよう。と思ったらヨアヒムはもう寝ておるのか。>>12も、もしや…そなたは…おちこんだりもするけど元気な魔女ではあるまいな?もしそうであれば、モーリッツに頼むよりもパン屋のオットーのところで働かせてもらうのがよいかもしれぬ。残念ながらまだオットーは来ていないようだが…。>>13うむ、千と千尋もよいな。ナウシカの評価が低いのが気になるが、女の子らしいGSかもしれぬ。
プロローグ,旅人ニコラス,村人,>>15すまぬ、>>12についてはGSを見る前に反応してしまったが、勘違いであったようだ。(ぶっちゃけ千よりもキキの方が好みなものでな。ロリコンではないから安心したまえ。)モーリッツは一人二役で大変であろうが、頑張ってくれ。とりあえず、パメラは風呂の掃除でもしておいたらどうかな?そのうちレジーナが来てくれるとよいな。
プロローグ,村娘パメラ,村人,>>16旅あ、そういえばリボンのあの子も働いてるというイメージでは一緒ですね…。わかりました！ではレジーナさんが来るまで宿を掃除してますね！[…は床をデッキブラシで吹き始めた]…きゃあっ！[と思ったら転んだ]
プロローグ,羊飼いカタリナ,人狼,これは…胞子…(注:黒カビです
プロローグ,羊飼いカタリナ,人狼,>>7まだ決めるには早すぎるわwそんなフラグは早すぎますw
プロローグ,旅人ニコラス,村人,羊>>19そう言いながら、すでに腐海の植物の胞子に魅せられてしまっているようだが、大丈夫かな?しかし、たしかに妙>>7は早すぎたかもしれぬ。まだ、 【リザの】おちこんだりもしたけれど元気な村【宅急便】とかになる可能性もあるのではないかな。
プロローグ,神父ジムゾン,村人,[…は右往左往している]
プロローグ,神父ジムゾン,村人,oO(どうしましょう、身の上の理由により村に迷い込んでしまったんですが森の中に昔からすんでる妖精くらいしか知らないんですががが)
プロローグ,司書クララ,狂人,私はクララ大佐だ。
プロローグ,司書クララ,狂人,私は手荒なことはしたくないが、村の運命は我々が握っているんだよ。■1.コアタイムは不定期だ。■2.24:00付近が理想だ。もちろん、6:00決定にも対応する。■3.無理な奇策はやめたまえ。■4.ラピュタを調査するうちに迷いこんでしまったようだ。人狼を退治するまで我々は谷底から出られない。私に協力してほしい。□5.私はカリオストロが一番だ。ラピュタとトトロも捨てがたいがね。
プロローグ,旅人ニコラス,村人,神>>21私のことは気にせずに普通にしてくれ。□5も無視してもらって構わないし、他の話題もどんどん振ってほしい。私はただ人狼の謎を解きたいと願っているだけだよ。書>>24クララ大佐、よろしく頼む。カリオストロ好きならクラ…と見せかけて大佐とは、貴殿はなかなかのやり手と見えるな。とりあえず、3時のおやつを置いておこう。つ[チコの実]
プロローグ,司書クララ,狂人,早く本隊と合流してラピュタを探さなくては…くそぉ、ゴリアテは何をしている！
