プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,農夫ヤコブ,人狼,わいは、人狼？なんだばそれ、そったのいだんずな（え、人狼？それはなんですか、そういうものがいるのですか）
プロローグ,負傷兵シモン,人狼,お邪魔させてもらうぜ。古傷が痛むな…
プロローグ,農夫ヤコブ,人狼,あれった？なんだばこれ。こった紙ポッケさ入ったったべが（あれ？なんですかこれは。こんな紙ポッケに入ってたでしょうか？）■１コアタイム■２仮決定/本決定の希望時間■３やりたいこと/やりたくないこと■４自己紹介
プロローグ,農夫ヤコブ,人狼,■１20:00～23:00（風呂、ご飯有り）■２21:45/22:15■３なんでもいいから楽しく/みんなが嫌がる事はしたくない。マナー的にね■４ヤコブって名前だ。わのこの訛りだっきゃ適当でねはんでな。わのなまりわがるんだばたいしたもんだ。わ、たげ馬鹿だはんでお手柔らかにお願いするはんで。（ヤコブという名前です。私のこの訛りは適当ではありませんよ。私の訛りが分かるなら大したもんです。私、とても
プロローグ,農夫ヤコブ,人狼,頭が悪いのでお手柔らかにお願いします）わ、寝るじゃ。
プロローグ,負傷兵シモン,人狼,ああ、アンケートって奴か。■1 20時〜23時■2 21:30/22:00■3 楽しい戦いにしたい。終わったあとに皆が良い思い出になればいいな。■4 しがない負傷兵さ。戰に出たのはもう、4年も前の話…
プロローグ,旅人ニコラス,狂人,序曲(ｵｰﾊﾞｰﾁｭｱ)[…はキタラーを弾いた]こんばんはどうやら僕は、なにやら危なっかしい村に入ってしまったようだね。
プロローグ,旅人ニコラス,狂人,前奏曲(ﾌﾟﾚﾘｭｰﾄﾞ)か…■1.20～24■2.1h／30m前■3.奇策は全然構わないけど、案出すならプロの内に出してほしいかな。　　あとは、楽しくやれればそれでいいよ。■4.僕は風のまにまに漂う吟遊詩人。風の吹くところが僕のいる場所さ。　　でも、ここに来たのはちょっとマズかったかな…。人狼なんて恐ろしいものがいるなんてね…。　
プロローグ,少女リーザ,村人,こんばんわ～私が来たからにはもう安心＾＾人狼なんてリーザパンチ＆リーザチョップ　とどめはリーザジャンピングアタックで一網打尽だよ！
プロローグ,負傷兵シモン,人狼,この村が封印の村なんて呼ばれる所以を、お前たちは知っているか…？実はこの名前にはちゃんと意味がある。しかし、それはまだ語るべき時じゃねえんだ。この話は長くなる。またいつか、な。
プロローグ,少女リーザ,村人,■１　２０：００時以降■２仮２１：４５　本２２：１５■３ネタをまじえつつ楽しくやりたいですね/突然死は避けよう■４武闘派のリーザです。皆さんよろしく！
プロローグ,村娘パメラ,人狼,こんばんはー夜更かしはお肌に悪いわよ～みんな早く寝なさい！
プロローグ,村娘パメラ,人狼,■１：20時～24時■２：仮一時間前、本30分前■３：楽しくやりたいわね。流行病に気をつけて。■４：この村の看板娘よ。みんな知ってるでしょ？
プロローグ,シスターフリーデル,村人,こんばんは。静かな夜ですね。
プロローグ,シスターフリーデル,村人,■１：19時から24時です。夜明け後は寝てしますかもです。■２：仮決定1時間前、本決定30分前がわかりやすいです。■３：みんなで楽しい村にしましょう。凸はしません。マリア様に誓って。■４：この村のシスターです。特技は裁縫を少々です。
プロローグ,青年ヨアヒム,村人,こんばんは。ヨアヒムです。僕はただのニートさ。
プロローグ,青年ヨアヒム,村人,■１：20時～23時■２：仮1h、本0.5h前■３：突然死だけは避けたいね。■４：へへ…身体がアカウントとパスワードを覚えてやがる…
プロローグ,羊飼いカタリナ,霊能者,人狼とはまた物騒な噂ね…羊兵部隊、集合よ！[…は指笛を吹いた]＠ヽД）＜「我々の出番だな、兄弟！」＠・ω）＜「人狼なんているわけないじゃん。みんな大げさだなあ」＠−д）＜「ふぁーあ……ねむいな……寝てていい？」
プロローグ,羊飼いカタリナ,霊能者,■1.21:00～23:30、朝昼一撃あるかも。■2.仮1時間前/本30分前くらい。■3.流行病には気をつけるのと、愛を持って殴りましょう。あと、せっかくみんな集まるんだし、お鍋でもしましょうよ。得票数多かった人は、みんなで材料持ち寄って（灰埋めして）闇鍋とかどうかしら？■4.第二羊兵部隊、司令のカタリナよ。＠ヽД）＜「ジーンだ」＠・ω）＜「ギースだよ」＠−д）＜「Zzz…」
プロローグ,パン屋オットー,村人,みなさんおはようございます
プロローグ,パン屋オットー,村人,■１コア22:00-24:00くらいですかね■２仮決定/本決定の希望時間1h/30m前で■３やりたいこと/やりたくないことみなさんで楽しい村にしましょうね。■４自己紹介はじめまして、オットーと申します。この辺にあるパン屋の店主を務めております。
