プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,神父ジムゾン,人狼,ヅラ神父なんているわけないじゃん。みんな大げさだなあ
プロローグ,神父ジムゾン,人狼,えー。とりあえず。お約束のプロ議題を。■１：主な参加時間■２：仮決定、本決定の希望■３：自己紹介□４：その他。青年の主張とか。
プロローグ,神父ジムゾン,人狼,言いだしっぺの法則に則って。■１：夜メイン。■２：仮２１時くらい。本２２時くらい。■３：神父です。宗教法人は税金取られないのでサイドビジネスでウハウハです。
プロローグ,青年ヨアヒム,人狼,ニートなんているわけないじゃん。みんな大げさだなあ
プロローグ,青年ヨアヒム,人狼,ジムさんからなんか回ってきたぞー■１：不定期。夕方はいないことが多いかな。■２：みんなに任せるよ。ただ、更新時間から離れすぎてると顔出せないかも。■３：一昨年にリストラされてからは就活中のヨアヒムって言うんだ。□４：僕はニートじゃない！
プロローグ,神父ジムゾン,人狼,こんばんはヨアヒム。早速ですが貴方は（私の）髪を信じますか？まあ、信じようが信じまいが神の前では大した差はありませんけどね。ＨＡＨＡＨＡＨＡＨＡ。
プロローグ,青年ヨアヒム,人狼,>>7ジムさんの髪？…頭ってこと？実はジムさんの頭は神様から与えられた物凄い輝きがあって、普通の人間が見るとその光で失明しちゃうからヅラで隠してるって都市伝説なら聞いたことあるぜ。なぁジムさん、もしそれが本当なら、その光で人狼に目潰ししかけちゃってよ。
プロローグ,神父ジムゾン,人狼,>>8ヨアヒム。喜ば…（ゲフンゲフン）残念ながら私にそのような奇跡は起こせないのです。だからと言って私の髪を毟るのはダメですよ。貴方に髪の祝福があることを願ってコレを差し上げましょう。つ【神学校への推薦状】それではグッナィ。 
プロローグ,青年ヨアヒム,人狼,>>9そっかー…残念だなあ。都市伝説は嘘だったのか。あ、[神学校への推薦状]ありがとう。(本音：「就職の推薦状じゃねえのかよ…」)
プロローグ,行商人アルビン,人狼,わたしは　いま　もりの　はずれにある　ちぬられたむらとよばれる　おおきなむらの　まえに　いる。（中略）・・・いかなる　しょうがいも　のりこえ　じんろうを　たおすこと・・・。それがわたしの　はたすべき　しめい　なのだ！！
プロローグ,農夫ヤコブ,村人,新規採用なんてあるわけないじゃん。みんな大げさだべなぁ
プロローグ,農夫ヤコブ,村人,農業はいいべ。葉物野菜は高騰してるべ、ヨアも一緒に畑を耕すべ！神父さまのアンケートさ回答しとくべ。■１：20:00-24:00くらいだべ■２：仮22:15 本22:45とかどうだべ？■３：農業は国の礎。レッツ農業！
プロローグ,農夫ヤコブ,村人,□４：農家の嫁募集中だべ！めんこい娘っこはいねえべか。さてさて、今日は休むべ。明日はさぁ、レッツ農業なお方が集まるといいべな。
プロローグ,行商人アルビン,人狼,■１：２２じ　から　２４じ■２：わたしは　農>>13に　ついじゅうした！■３：わたしこそ　しんの　ゆうしゃだ！□４：わたしの　ゆうしゃとしての　ちが　さわぐ！
プロローグ,青年ヨアヒム,人狼,>>11おっ、何かよく分からないけど、頼もしいな。人狼騒ぎなんて早く終わらせようぜ。
プロローグ,青年ヨアヒム,人狼,>>13これでも家庭菜園ならもう始めてるよ。家計が多少楽になるからね。つ[プチトマト]>>14確かにこの村、華がないな。いくら血塗られた村だからって可愛い女の子の一人くらいいないとな！
プロローグ,パン屋オットー,村人,よろしくお願いします♪( ´▽｀)
プロローグ,パン屋オットー,村人,だいたい22:00から24:00が滞在朝も通勤路に確認だよ♪( ´▽｀)
プロローグ,羊飼いカタリナ,村人,カタリナだよ。みんなおはよーさんなんだよっ。とりあえずまた後で来るね。
プロローグ,行商人アルビン,人狼,ヒカレタイヨウ！
プロローグ,少女リーザ,占い師,バスクードー…！！！……あれ？
プロローグ,少女リーザ,占い師,ここは、どこー…？
プロローグ,シスターフリーデル,狩人,親の野望でミッション系のだ学校に押し込まれた私だけれど、閉じ込められっぱなしになるほどおとなしくなんてないわよ。狼を捕まえて、私の名声を轟かせるつもりよ。貴方達ももちろん手伝うわよね？
プロローグ,シスターフリーデル,狩人,あら、リーザ。相変わらずぶさいくね。あなたの可愛さなんてパッmだに等しいわ。私は人にはふさわしい扱いがあると思っているの。[リーザの頭を撫でた]
プロローグ,シスターフリーデル,狩人,あら、リーザ。相変わらずぶさいくね。あなたの可愛さなんてパンダだに等しいわ。私は人にはふさわしい扱いがあると思っているの。[リーザの頭を撫でた]
プロローグ,シスターフリーデル,狩人,あら、2回目？しかも2回目も間違えてる？なんのことかしら？　私には何も見えないわ。そんな細かいことにこだわるなんてくだらないことね。・・・とりあえず、宿で準備をするわ。
プロローグ,旅人ニコラス,村人,傷心旅行なんてするわけないじゃん。おおげさだなあ。
プロローグ,旅人ニコラス,村人,あ、さっそくインタビューだね。■１ 不定期。しかも鳩からが多くなるけれどゴメンね■２ 決定時刻は合わせるよ■３ 旅をして回っているよ。別に、女の子に振られて旅に出たわけじゃないよ。違うってば。□恋人募集中
プロローグ,農夫ヤコブ,村人,お昼だなあ。ヨアにもらったプチトマトはなかなかの味だったべ。ヨア、アグリカルチャー的才能あるべ！さあ、これさ持ってみるだ。［...はヨアヒムに使い込んだ鍬を手渡した。］まずは腹ごしらえだな。オラんとこの新米だ、みんなの分もあるだよ。［ほかほか新米おにぎり］［あつあつ麦茶］［お新香］
プロローグ,シスターフリーデル,狩人,時間に関しては農夫に追従するわ。□人狼を生け捕って売り払ってやろうと思ってるわ
プロローグ,パン屋オットー,村人,人狼でならした俺達村人部隊は、濡れ衣を着せられ吊られたが、墓地を脱出しこの村に舞い戻った墓地でくすぶってる俺達じゃあない俺達は定石のとおらぬオオカミにあえて挑戦する頼りになる神出鬼没の特攻野郎Ａチーム
プロローグ,農夫ヤコブ,村人,村がにぎやかになってるべ。めんこい娘っこも来てくれただな、嬉しいべ。皆よろしくなあ。シスター、こんにちはだ。ずいぶんと威勢のいいシスターだべなー、と思ったら尼>>25>>26は何とも可愛らしいだな。神父さまは今日は祈祷の時間が長いようだべな。おにぎりが冷めないうちに戻ってくるとええだよー。さて、畑に戻る時間だべ。また夜来るだー。
プロローグ,パン屋オットー,村人,助けを借りたきゃいつでも呼んでくれ
プロローグ,旅人ニコラス,村人,新米の季節だねえ。ありがとう。ひとついただくよ。むしゃむしゃ。整いました～おむすびと掛けましてェ、前衛ミュージシャンのライブと解きます。その心は、ノリが悪いといただけません。
プロローグ,少女リーザ,占い師,おなかすいたあー！！おにぎりだあっっvニコラスさんお上手なのです♪シスターのお姐ちゃんは、ツンデレなのですね^^どうやら楽しそうな村に来ちゃったみたいで、りぃ嬉しいーーっ
プロローグ,シスターフリーデル,狩人,＞ヤコブふんっ。軽々しくかわいいなどと言わないでほしいわ。そんなこと言われても、犬に擦り寄られる程度にしか嬉しくないわ。
プロローグ,青年ヨアヒム,人狼,ヤコさんのおにぎりもらうよ。……お、うまい！[…はヤコブに渡された鍬を持ってみた]（農業にはあんまり興味ないんだけどどうせ暇だし教えてもらうのもいいかもな）オトさん何か強そうだし、カタリナちゃん、リーザちゃん、シスター…可愛い女の子も来たし。ニコさんは遠いところから来たの？ようやく賑やかになって来たし、人狼騒ぎがあって申し訳ないけどゆっくりしてって！
プロローグ,少女リーザ,占い師,時間はみんなに合わせるよ！！■3.りぃだよ＾＾悪い狼さんは捕まえて煮て焼いて食べちゃうぞ♪■4.お姐ちゃんのお手伝いでも、トッコウチームに入るのも、神ガッコウ目指すのもいいけどー…やっぱり一番なりたいのは農家のお嫁さん！
プロローグ,シスターフリーデル,狩人,ふぅ～ん。料理ごときに飛びつくなんてほんと見た目通りお気楽な連中ね。だったらこれもくれてやるわ。[おだんご]・・・おにぎりで飛びつくのだからだんごは食べないなんてことはもちろんないわよね？
プロローグ,シスターフリーデル,狩人,あと、私は神学校の学生。シスターではないからなるべく学生フリーデルで「学」としてくれるとうれしいわ。
プロローグ,青年ヨアヒム,人狼,おやつにおだんごもらいっ！久々に食べたなぁ、おだんご。おいしー。シスターじゃなくて学生さんなんだね、誤解してごめんね。じゃ、僕はリデちゃんって呼ぶよ！
プロローグ,旅人ニコラス,村人,お団子もいただくよ～むしゃむしゃ。おいしいな、これ。…整いましたァこのお団子と掛けましてェ、リーザとフリーデルがケンカをしてリーザが負けたと解きます。その心は、あまかったでしょう…って、尼じゃなくて学なの？
プロローグ,少年ペーター,村人,おだんごがあると聞いてやってきました。
プロローグ,少年ペーター,村人,おだんごいただきます！！の前に。■１．ふてーきに。基本的に18:00くらいからかな。■２．ヤコヤコに追従ー。では、おだんごいただきますっ！！むしゃむしゃ。
プロローグ,少女リーザ,占い師,おだんご……はむっ…あまあ～～～～い！りぃはケンカなんてしないもん！ペタくん、こんにちは＾＾つ[熱いお茶]
プロローグ,負傷兵シモン,狂人,勲章なんかもらえるわけないじゃん。大げさだなあ。
プロローグ,負傷兵シモン,狂人,■１　夜中心■２　ヤコブに追従。■３　手柄を立てて有名になろうと思って戦争に行ったけど敗走しました。しかたないので人狼を倒して名をあげようと思います。□　ニコラスと同じく恋人募集中。
プロローグ,負傷兵シモン,狂人,手土産に【志願兵を募集の案内】を置いていきます。いくつかのところで捨て駒に使える兵士を募集中らしいので。それではお団子もらう。
プロローグ,少年ペーター,村人,リズリズちゃんこんにちはー。お茶どうもありがとう。ずずずっ。>>47　突っ張ることが男のたった一つの勲章だよ。ママが言ってたよ。
