プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,少女リーザ,村人,何だかとっても暑いの。こんな所に狼さんなんて、いないの。盆地だからかしらー？？
プロローグ,少女リーザ,村人,あらあら？なんか隣村にあったのー！！ぺたりっと。■1.コアタイムについて■2.仮決定／本決定の時間■3.やりたいこと、やりたくないこと■4.自己紹介などリーザもあとで答えよーっと。
プロローグ,青年ヨアヒム,村人,人狼だって？僕は煉瓦の家に住んでるからそんなの怖くないよ！藁の家に住んでた兄さんとは違うんだ！
プロローグ,青年ヨアヒム,村人,リーザちゃんこんばんわｗ■1.20～25時■2.仮21:45／本22:15■3.RP強めで考えてるけど、流れの邪魔になるようなら減らすよ。■4.僕は病気で自宅療養中なんだ。僕自身は元気なつもりなのに皆が、お前は病気だ！って言うからきっとそうなんだ。
プロローグ,村長ヴァルター,村人,人狼狩の寄合を始めようかの〜〜〜。
プロローグ,村長ヴァルター,村人,■1.コアタイムについて　２１：００〜あたり。　ノマド民族なのでけっこう出現。■2.仮決定／本決定の時間　仮２２：００　本２２：３０■3.やりたいこと、やりたくないこと　楽しく、楽しく、楽しくプレイ。細々と言わずに楽しくプレイ　村長だからまとめ役はちょっと難しいな。■4.自己紹介など　たぶんパッション派と呼ばれる部類に入ると思うんです。
プロローグ,旅人ニコラス,人狼,ほう…ここが盆地の村ですか…皆さん、少しの間お世話になります…
プロローグ,パン屋オットー,霊能者,毎晩、人狼にパンを盗まれて困ってるんだ。誰かさっさと捕まえてくれ。
プロローグ,パン屋オットー,霊能者,■1,19:00～21:30くらい。   22:00から離れることが多いです。　 日によっては変わる場合もありますが。■2,仮21:00 本21:30■3,楽しめればそれでいいです^^■4,ライスかパンかで言ったらライス派と呼ばれる部類に入ると思うんです。たぶん。
プロローグ,少年ペーター,村人,狼なんて、僕が退治してやるぅ！
プロローグ,少年ペーター,村人,■1.  21時〜25時 昼間も比較的自由■2.  22時前後■3.  途中対立してもエピでは皆仲良くできるといいなっ！■4.  子どもだから深く考えるの苦手だけど、大人の階段だと思って、僕がんばる！最近、弟が生まれたから、立派なお兄ちゃんになるんだ！皆さんよろしくお願いしまーす！
プロローグ,旅人ニコラス,人狼,そうですね…■1.21時頃～24時頃■2.仮22:00　本22:30辺りでどうかな？■3.仲良くしていきたいです！■4.ちょっと長旅で疲れているので、ゆっくりしたいですね～RPに重点を置いて進めていきたいです。
プロローグ,神父ジムゾン,村人,■1.20~23時ゴロ。昼間はちょいちょい見に来るだけですね。話すのは無理かもしれません。■2.仮21:00 本22:00でいかがでしょうか■3.ゆるゆるしたいですね。■4.実は神をあまり信じていません。シスターフリーデルには内緒ですよ？
プロローグ,青年ヨアヒム,村人,皆さんおはようございます。あぁ…ムサいですね…潤いが足りない…
プロローグ,村長ヴァルター,村人,ついでに議題だ。□盆地の村の新観光名所そんなもんも、なんかあったら答えてくれ。まっ、興味がなければそれはそれで良い。
プロローグ,老人モーリッツ,人狼,おはもーりっつ！■1.18〜23だもーりっつ！■2.仮21  /  本22がいいなもーりっつ！■3.とりあえず、平和な村にしたいなもーりっつ！■4.語尾にもーりっつがつきます！よろしくもーりっつ！
プロローグ,シスターフリーデル,村人,おはようございます。みなさま。人狼が出ると聞いてまいりました。何事も無ければ良いのですが…
プロローグ,旅人ニコラス,人狼,>>16□確か…盆地の特徴である山々、その間から吹く風を利用しようといくつかの風車が建てられたと聞きましたが…あ！ほら！あそこにまず一つ目の風車が…！（風車の数は６つでこの村を囲むように建てられた。そしてそれらは結界の役割を果たしているという噂も…）
プロローグ,旅人ニコラス,人狼,は！ということは…（もしかするとこの村はその結界によって『人狼』から守られていたのかもしれませんね…ならば、どこかの風車が壊されているという推測になりますね…）
プロローグ,シスターフリーデル,村人,■21時〜24時前後ですわ■仮21:30 本22:00頃を希望します■みな、神のもとに平等なのです。ですので人格攻撃などは、好きではないですわ。お互いに思いやりあえると良いですわね。■みなさまに神のご加護がありますよう…
プロローグ,少女リーザ,村人,おはよー！今日は何だかお天気が良くないの。盆地だから？？皆たくさん来てるっ。嬉しいなぁ。■1.20時〜24時位なの。■2.22時／22時30分が良いの。■3.わいわいやりたいな。仲良く活発にお話しすることが、村のしょーりに繋がるって、おじーちゃんが言ってたの！■4.リーザなの。皆が集まっていたから、ちょっとだけ顔を出してみたよ。早起きは得意じゃないの。でも頑張るの。
プロローグ,村長ヴァルター,村人,おっ。10人揃った。明日から寄合を始められそうだ。各自準備しとけよ。特に脳みその筋トレやっとけ。
プロローグ,少年ペーター,村人,わーい、みんなおはよー！あわわ！僕、学校行かなきゃ！またね！
プロローグ,シスターフリーデル,村人,以前、教会にいらっしゃった旅の方が置いていった本がありますの。みなさまのお役に立てば良いのですが。＠用語/記号について【】：COの宣言や決定等重要事項に用いる■：議題　□：ネタ議題等★：質問の頭に使用　☆：返答の頭に使用●：占い第一希望　○：占い第二希望▼：吊り第一希望　▽：吊り第二希望　▲：襲撃CO：カミングアウト（主に能力者が公表すること）
