プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,青年ヨアヒム,村人,PIACERE! PIACERE!
プロローグ,青年ヨアヒム,村人,俺、お前と友達になりに来たんだ。同盟組もうよ！(とりあえず席確保。また後でねー)
プロローグ,羊飼いカタリナ,村人,人狼ハンターのカタリナ、ここに推参よ！oO(とりあえず、席確保ね
プロローグ,羊飼いカタリナ,村人,ヨアヒムさん、初めまして～私でよければ、お友達からお願いします...ﾓｼﾞﾓｼﾞ
プロローグ,羊飼いカタリナ,村人,oO(お姉ちゃんを襲った人狼が、この村にいるという噂をきいてやってきたわoO(以前はガロンって名前だったらしいけど、今はきっと名前も変えているわねoO(ツンツン頭でワイルドな風貌だったらしいけど、今はどうなのかしら？oO(でも、きっと見つけ出してみせるわ（ｷﾘｯ
プロローグ,負傷兵シモン,人狼,人狼・・・とりあえず二度寝してくるか・・・
プロローグ,パン屋オットー,占い師,ヨアヒム、良いぜ。同盟組んでやっても。か、勘違いすんなよ！俺の為だからな！お…お前の為なんかじゃないんだからな！
プロローグ,シスターフリーデル,人狼,あら、人狼がこの村に？もしやこれは…神が私に人狼を討てと仰っているのかしら。これが待ちに待った天命…。理解いたしました、父よ。見事やり遂げて御覧にいれます。願わくば…我に七難八苦を与えたまえ！
プロローグ,シスターフリーデル,人狼,オットーさんの眉毛がやたら太く見えるのは気のせいでしょうか…。それとアンケートを持って参りましたの。各々お答えになって。■1．コアタイム■2．仮決定時間・本決定時間の希望■3．やりたいこと□4．自己紹介
プロローグ,パン屋オットー,占い師,誰も議題貼ってないのか。仕方ねぇな、隣の村から持ってきたぞ。俺が困るからな。■1.コアタイム■2.仮決定、本決定時間■3.やりたいこと、やりたくないこと■4.自己紹介俺は後で答えるな。パン、焼いてくるぜ。
プロローグ,ならず者ディーター,狩人,ツンツン頭でワイルドな風貌…？さあ、覚えてねぇな。
プロローグ,農夫ヤコブ,村人,こんにちはー……Zzz
プロローグ,シスターフリーデル,人狼,あら、オットーさんとバッティングしてしまいましたわね。ふふふ。■1.不定期ですわ。夜は22時～夜明けまでいられると思いますの。■2.仮23:15/本23:45■3.リアル大事にしつつ、まったりしていきましょうね。□4.こう見えて私、異端審問官ですの。このような形で職務を執行する事になるとは思いませんでしたが…。oO(リナさんリナさん！>>12>>12>>12
プロローグ,ならず者ディーター,狩人,何だこりゃ。…議題？■1.結構不定期だな。更新立ち会えない時は事前申告するぜ。■2.仮23:15/本23:45■3.なんだろなー、荒れるのも殴り合いも上等だが、自分なりの筋を通してほしいよな。■4.ワイルドだろ↑？
プロローグ,旅人ニコラス,狂人,鳩なので議題は村についてから。
プロローグ,パン屋オットー,占い師,■1.不定期だ。更新前後は居る様にする■2.仮23:15/本23:45■3.入って気づいたんだけどキリ番村だったんだな。妖精ネオチーさんには負けないんだからな。俺の眉毛が太いなんて何言ってるんだ、リデル。さて、パン焼いて来たぜ。皆遠慮せず食えよな。つ■■■■
プロローグ,村娘パメラ,村人,でででででででででででででででーでん(ドラクエ的な音お気の毒ですが、G800村のパメラは男になりました。
プロローグ,少年ペーター,村人,もいもい！！
プロローグ,少年ペーター,村人,■1.不定期です。22:00〜24:00くらいまではだいたいいます。■2.仮23:15/本23:45■3.楽しくやれたらうれしいです！■4.お昼寝大好きだよ〜ヴェ〜
プロローグ,少女リーザ,村人,席確保。また後ほどなの。
プロローグ,司書クララ,人狼,泣いてばかりいたって、幸せは来ないから～♪
プロローグ,行商人アルビン,霊能者,ずさーそれではまた後程！！
プロローグ,木こりトーマス,村人,一生懸命、職を探したのにさ・・・木こりって・・・私は見た目よりひ弱なのに・・・
プロローグ,木こりトーマス,村人,力を振り絞って議題に答えていくぜ・・・■1.夜22時以降■2.まかぜるぜ・・・■3.もうニートには戻らない・・・■4.こう見えても気が弱いんだ・・・またあとでくるぜ・・・
プロローグ,羊飼いカタリナ,村人,凄いわね..気づいたらフルメンバーとは嬉しいわ流石、キリ番村...ｺﾞｸﾘ議題ありがとう。回答するね！■1．不定期■2．仮23:15　本23:45がいいのかしら■3．チェーンコンボからのシャイネス＆ストライク□4．ＲＰとネタが最後まで続けられるよう頑張りたいわ
プロローグ,村娘パメラ,村人,フルじゃねーよっ
プロローグ,村長ヴァルター,村人,あれ…俺の村ってここだっけ？
プロローグ,羊飼いカタリナ,村人,シモン>>7はっ。ツンツン頭でキリリとした顔立ち....もしかして？ディタ>>12はうぅ!ツンツン頭でワイルドな顔立ち...もしかして？？この２人は要チェックね！oO(参加してくれて嬉しいなんて思ってないんだからね。勘違いしないでよね[訳：凄く嬉しい]
プロローグ,負傷兵シモン,人狼,部屋で休んでる間に全員揃ったみたいだな。賑やかなのは嫌いじゃないぜ。■1．21:00～24:15あたり■2．任せる■3．病気とかには気をつけようぜ　　キリ番に相応しい、いい村になるといいな□4．温泉行きてぇ
プロローグ,羊飼いカタリナ,村人,パメラさん>>18その効果音ってセーブデータ消えた時の呪いの音？oO(このネタ分かる人は、無条件に印象アップねwパメラさん>>28・・・勘違いなんかしてないんだからね村長がきてくれるってわかってただけだもん・・・
プロローグ,村娘パメラ,村人,カタリナの印象は、俺の中でアップした。
プロローグ,村娘パメラ,村人,時はきた。
プロローグ,村娘パメラ,村人,それだけだ！・・・・
プロローグ,負傷兵シモン,人狼,羊>>29　（ん？なんか見られてる気がするが・・・）カタリナは人狼ハンターなんてやってるのか。腕っぷしに自信があるのかもしれねえが、夜はあいつらの領分らしいから無茶すんなよ。
プロローグ,負傷兵シモン,人狼,ﾄﾞﾝｯ!ﾄﾞﾝｯ!ﾄﾞﾝｯ!0％　0％　0％なんかも、この村に相応しいんじゃないかと思うぜ。
プロローグ,村長ヴァルター,村人,oO(なんか勢いで来ちゃったよ…よく見たら見たことない村だよここ。どうしよう…今更引き下がるのもアレだしなぁ。)■1.不定期■2.おまかせするよ。決定時間に立ち会えないことがしばしばあるかもしれないけどその都度希望を早めに出したりするよ。■3.なにもやりたくない。村長なんてやりたくない。家でゴロゴロしていたい【ニート思考CO】□4.ああ…そうだよ。俺が村長だよ。文句あるか？
プロローグ,負傷兵シモン,人狼,屋>>17差し入れとか気が利くな。・・・・・・これ、真っ黒に見えるんだが何パンだ？
プロローグ,負傷兵シモン,人狼,あれ。この村の村長ってこんなだったっけ。覚えてねぇや。まぁいいか。
プロローグ,村長ヴァルター,村人,娘>>33->>34どっかで聞いたことあるフレーズだと思って調べたら…元ネタ知らない人が聞いたら完全に滑った人だと思うだろうな
プロローグ,青年ヨアヒム,村人,おっ、早くもフルメンバーだね。みんなでロンド踊ろうよー■1.不定期だよ！■2.本23:45くらいかなー■3.毎日楽しければそれでいいよー□4.ヨアヒムだよ。俺がついた陣営は勝つことになっているから安心してね！♪あーあー　負けないぞ～　ぶたれたら泣いちゃうけど～
プロローグ,青年ヨアヒム,村人,オットー>>8　オットーと同盟組んだら、ロン毛の優男ボコれそうだね。しかしパン屋始めたんだね。オットーは料理部に出禁になるくらい料理下手で有名だからなぁ。スコーンとかだったらまだマシか……
プロローグ,青年ヨアヒム,村人,わーい、可愛い女の子がいっぱいだーカタリナ>>5　そんな～お友達からなんて水臭いよ(馴れ馴れしく肩を抱こうとする)……ってその銃は！？　ノース人がローマを狙っているぞ（ピューフリーデル>>9　君そのロザリオ可愛いね。年いくつ？異端審問ってこうだよね？　"Nobody expects the Spanish Inquisition!!"僕もやってみたいよー
プロローグ,青年ヨアヒム,村人,パメラ>>10　君その長い髪可愛いね。年いくつ？え、流行りの男の娘！？　全然OKだよ、むしろアリだよ！！って、>>33　(ププッ　って、あの人の女装はあまり想像したくないなーリーザ>>12　君ちっこくて可愛いね。年いくつ？クララ>>13　君その眼鏡が似合ってて可愛いね。年いくつ？もうすぐ春だし、僕と出かけてみない？
プロローグ,パン屋オットー,占い師,兵>>28右からメロンパン、焼きそばパン、クリームぱん、あんパンだ。く、黒くなんかねぇよ！こんがり焼けてんだよ！入ってから気づいたんだけどよ、キリ番村なんだよな。何か記念になる様な面白い事やんねーか？何も思いつかねえけど。
プロローグ,農夫ヤコブ,村人,ただいまー皆そろっとるやん！何起こっとんのかようわからんけどとりあえずログ読んでくるわー
プロローグ,ならず者ディーター,狩人,おーフルメンか。考察めんどくさｒｙまた後で来るぜ。暇な奴は決定時間の集計でもしといてくれると有難いな。俺？俺は忙しいからパスだ。
プロローグ,パン屋オットー,占い師,自分から提案はしないが、誰か面白い提案してくれたら乗っかるぞ。青>>42お前に負けず劣らず軟派な野郎の事か。まっ、俺に掛かったらどいつも敵じゃねーけどな。料理下手じゃねーよ！誰と勘違いしてんだよ！俺のパンが微妙なのはわざとなんだからな、ばかぁ！
プロローグ,農夫ヤコブ,村人,先にアンケートに答える！■1．じっくり居れるのは夜９時以降やでー遅くても夜１０時には来る。早起きせなあかんときは夜明け後３０分以内には寝る予定でおるけど、興奮しとったらもっと居るよ。■2．仮23:15・本23:45かなあ。■3．楽しいことならなんでもええでー□4．農家やってます。遊びにきてなー。
