プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,シスターフリーデル,村人,ずさーっ！≡≡≡;;;⌒´(≡≡≡⊂´⌒つﾟДﾟ）つ人狼？え？人狼？？！……うう。雨にも負けず、風にも負けず。台風にも負けず。ようやく村にたどり着いたと思ったら…人狼騒ぎっすか？エクソシスｔ…もとい、放浪司教になった兄様探して三千里。ようやく人里に来れたと思ったのにぃぃぃ！(ノ0＜｡)ﾒｿｫ
プロローグ,少女リーザ,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,シスターフリーデル,村人,[..は赤黒い分厚い本を隠した]わきゃ！？村の女の子？見捨てられた村だけど見捨てられてなかった、良かった！.o0(誰もいないと思って危うく、見様見真似でビヤーキー召喚の真似事するとこだった、危な)
プロローグ,シスターフリーデル,村人,人がいたことにホッとした。ホッとしたら…何だか…………僕。腹減りとか眠気とか眠気とか眠気とか眠気とか……(._.)　　　　　後は　任せた……　　パタッ　O(:3 )～('､3_ヽ)_［.返事がない、ただのしかばねのようだ］
プロローグ,少年ペーター,人狼,おおかみってなにそれ美味しいの？
プロローグ,旅人ニコラス,村人,ポーーーー！僕はKING OF POPニコケル・ラスソンだよ僕のことはニコケルとかニコラス（←キムタク風に）とか、まあ好きに呼んでねこの村での僕の存在はStranger in Moscowみたいなものだから、略称は旅でいいよ～じゃあ、みんな、よろしくね♪アアオッ！
プロローグ,羊飼いカタリナ,村人,カタリナなの。羊飼い、なのー。狼さんがいるって聞いて、こまってるのー。
プロローグ,シスターフリーデル,村人,ううん…何だか息倒れてた間に何人か通りすがったような感触…ああ、ここに来るまでの間に役に立ちそうなもの拾ったんで置いておくっすよ！
プロローグ,シスターフリーデル,村人,・CO：自分が能力者であることを公表すること。・FO：フルオープンの略。初日に占い師も霊能者もCOすること。・GJ：グッドジョブの略。狩人の護衛成功などに使う。・LW：ラストウルフの略。最後に残る人狼のこと。・GS：グレースケールの略。自分以外の灰を、白っぽい（村人っぽい）人から黒っぽい（人狼っぽい）人まで順に並べたもの。・SG：スケープゴードの略。狼の代わりに吊られる村人の意。
プロローグ,シスターフリーデル,村人,・アンカー：日付・時刻を用いて発言を引用すること。>>1　とか、1d01:15　など・黒即白３：占い結果が黒ならすぐに白なら夜明け３分後に発表する方法。　黒１白３は結果が黒なら1分後、白なら3分後に発表すること。・灰：能力者COしておらず、人間とも人狼とも判別されていない人物のこと。・ベーグル、ベグる:人狼が真贋不明の占い師候補の片方を噛む戦術のこと。・ライン：狼同士のつながり。
プロローグ,シスターフリーデル,村人,・●：占い第一希望　○：占い第二希望・▼：吊り第一希望　▽：吊り第二希望・■：議題　□：ネタ議題　・【　】：…宣言や決定等、強調したい発言。・［ ］：RP上の食べ物やアイテム、ト書に使用。・★：質問や強調したい事　☆：回答
プロローグ,シスターフリーデル,村人,あと回覧板置いておくっすφ（。。＊）■１.コアタイム■２.仮決定/本決定時間希望■３.やりたいこと/やりたくないこと■４.自己紹介□５,適宜でよろしくっす
プロローグ,シスターフリーデル,村人,■１.不定期っす！■２.ざっくりと３０分前、１時間前ぐらいで■３.黒魔じゅ…じゃなくて、みんなで楽しく明るくやりたいっすね！■４.兄を捜して迷い込んだっす。この辺りで神父やってると聞いたけど、はずれたかなあっと思ってるっす。こんな格好してるけど自分聖職者じゃないっすよ！これだと教会に泊めて貰えるから楽…げふん、げふん。それでは！ちょっと猪でも捕まえるために罠でも仕掛けてくるっす！**
プロローグ,旅人ニコラス,村人,リデル、素晴らしい！Superfly Sisterだねよくわかるよ、ありがとう（にっこり■1.不定期■2.仮1時間前、本30分前■3.みんなで楽しくやりたいな。ギスギスはいやだよーポウ！■4.歌と踊りが好き。10人兄弟の8番目だよ
プロローグ,木こりトーマス,霊能者,そこまでだ人狼め、破ぁ！！
プロローグ,司書クララ,村人,おおおおおお邪魔しましましま…はわわわわっ///じっ、人狼と言うのはあのっ、さ、サブカルチャー的でありつつも民衆の心を掴んでは離さず今や確固たるポジションを確立しつつあるケモ耳・ケモしっぽのことでしょうかっ。お、おおお恐ろしいですっ!!
プロローグ,負傷兵シモン,村人,こんちは。
プロローグ,負傷兵シモン,村人,■１.不定期■２.22:45/23:15■３.結果はどうあれ楽しくやりたいです■４.小指をタンスの角にぶつけた。負傷したので村に戻ってきました。
プロローグ,司書クララ,村人,か、回覧板…回覧板……■１.ふ、ふふ不定期です。■２.い、1時間前/30分前がよろしいかと。■３.た、楽しく愛のある殴り愛がしたいですね。あ、愛の無い無粋な殴りはただの暴力ですっ。ぼぼ暴力反対ですっ!!■４.クララと申します。ささ、最近ようやく一人で立てるようになったのですが、まだ足元がおぼつかないひよっこひよ子です…お、おおお手柔らかにっ///
プロローグ,少女リーザ,村人,ひとまず議題回答なのです。■１.21時~25時くらいなのです。■２.1時間前/30分前あたりですかね。■３.ギスギスしたくないのです。マナー大事。■４.がんばります。
プロローグ,旅人ニコラス,村人,シモンには鎮痛剤をあげようつ[Morphine]クララは物知りな感じだね（にこタブロイドも読むのかな？ヒーヒー♪
プロローグ,村娘パメラ,人狼,ズサー⊂⌒~⊃｡Д｡)⊃･･･
プロローグ,青年ヨアヒム,狂人,見捨てられちゃうの?
プロローグ,司書クララ,村人,フリーデルさん>>5は僕っ娘…クララ覚えましたっ（ｷﾘｯに、ニコラスさん>>15は歌と踊りがお好きなんですね…わ、私も歌は好きです。母さん呼ぶのも歌で呼ぶくらい好きですっ。>>22　いえいえっ、そそそんな物知りだなんて…はわわわ///兵>>19　たた、タンスの角と言うのは軍隊で用いられる隠語のようなものなのでしょうか…あ、脚を失うほどの負傷をするなんて、戦場とは恐ろしい所です…っ。
プロローグ,村娘パメラ,人狼,■1不定期です■2一時間前/30分前■3エピで笑えるようにしていきたいです！■4私はパメラと申します。。。真の漢を目指して頑張る所存です。まずは頼れるアニキを探さなければ・・・
プロローグ,司書クララ,村人,青>>24　えっ、そ、そんな…わ、私はヨアヒムさんを見捨てたりしませんっ（違）。
