プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,行商人アルビン,狩人,どーもこんにちは！…いや、こんばんはかな？この村いっつも暗いからよくわからんね！とりあえずちゃんと周りが見えるように灯り、置いとくからね。自由に使って！[緑の蝋燭][緑のランプ][緑の懐中電灯]ん？なんで緑しかないかって？そりゃ、私が緑が好きだからだよ！それじゃ、私は次に売る商品でも考えつつ皆を待とうかね～♪
プロローグ,行商人アルビン,狩人,とりあえず始めに、[非常時に知っておこう]って本読もうかな。なになに…【頻出記号】？【　】：重要事項、宣言等　■：議題　□：任意／ネタ議題●：占い第一希望　○：占い第二希望▼：処刑第一希望　▽：処刑第二希望　（処刑＝吊り）★：質問　☆：★に対する回答　＠数字：残発言数　（発言数＝喉）CO（カミングアウト）：能力者が自分の役を宣言することを指し、転じて他の人に自分の何かを明かす事も指す
プロローグ,パン屋オットー,狂人,今日はあんパンが安いよぉー！
プロローグ,羊飼いカタリナ,人狼,よっしゃ！私が一番乗り……ってアルさん…いたのね…(´・ω・｀)
プロローグ,行商人アルビン,狩人,他の事は図書館で調べればいいかな。そうそう、ここに来た人はぜひアンケートに答えてほしい！客のほしいものを用意できるようになりたいからね！■1.コアタイム■2.仮決定/本決定希望時間■3.CO方法■4.自己紹介とか意気込み□5.好きな(緑)色は？…括弧の中は気にしなくてもいいよ。
プロローグ,青年ヨアヒム,村人,こんばんはー
プロローグ,農夫ヤコブ,占い師,緑の蝋燭って何を混ぜているんだろう？
プロローグ,旅人ニコラス,人狼,あんぱんモグモグ
プロローグ,少女リーザ,村人,夜更かしして起きてるリーザは少し悪い子なの
プロローグ,負傷兵シモン,村人,よお、邪魔するぜ。酒でも出して貰って、後は寝るかな…。
プロローグ,羊飼いカタリナ,人狼,質問に答えておきますね！■1.20:00~25:00■2.仮22:45/本23:15■3.能力者CO、狩潜伏■4.羊さんが時々勝手に喋ったりもしますが、どうぞよろしくお願いしますね(*･ω･)□5.モスグリーンが好きなのです。
プロローグ,行商人アルビン,狩人,>>4やあオットー！今日はアンパンが安いんだね！二つ貰っていいかい？>>5おや、ごめんよカタリナ。私は誰よりも早く来て商売をしたかったのさ。>>7こんばんはヨアヒム。>>8企業秘密さ。>>11レジーナがいないようだから私が用意しよう。乾杯だ！
プロローグ,行商人アルビン,狩人,セルフ回答！■1.夜は大抵いるかね。朝昼は商売で忙しいんだ。■2.仮：22:30/本：23:00かね。遅すぎると混乱した時困るからね。■3.占は即CO、他は当人任せかな。狩は潜伏してくれた方が嬉しいけどね。■4.行商人のアルビンだ。今は頑張ってるけど、序盤は寡黙気味になるのが悩みかな。もちろん努力はする。突然死・喧嘩せず、ルールを守って仲良くやっていこうじゃないか！□5.もちろん緑さ！
プロローグ,司書クララ,村人,読書に夢中でこんな時間になっていましたです…
プロローグ,負傷兵シモン,村人,>>13　お、ありがとよ。乾杯。で、ついでに答えてから寝るぜ。■1.22:00−24:00は頑張る。日によっちゃ昼間もヒマだな。■2.仮22:30/本23:00なら助かる■3.占即・狩潜/あとは本人に任せるぜ■4.先の大戦でポカやっちまったバカな兵士崩れだ。突然死だけは避けるが、どうにもならねえ事情で急に喋らない事になるかもだ。すまねえ。□5.赤は嫌いだな。もう見たくねえよ。
プロローグ,少女リーザ,村人,お答えするの！■1.21:00〜1:00くらいなの■2.仮 1時間前/本 30分前■3.潜伏も選択肢にあっていいと思うけど、無難にFOかな？■4.精一杯楽しんでいきたいの！皆さんよろしくなの〜□5.好きな(緑)色はエメラルドグリーンなの！
プロローグ,青年ヨアヒム,村人,回答だよー■1.不定期だけど夜がメインかな？■2.みんなに合わせるよー■3.CO方法って投票COとかのことかな？それだったらみんなに合わせるよ。タイミングのことなら初日狩人以外FO希望。■4.絵描きを目指すヨアヒムだよ。決してニートとかじゃないんだから!!まぁ、下手だけど…楽しくやりたいと思うのでよろしくね。□5.緑の中で好きな色かー若竹色とか好きかも！色全体なら青とかすきだなー
プロローグ,農夫ヤコブ,占い師,>>13うーん。秘密かー。残念。もしかして緑色の炎が出たりするのかなあ。一本下さいな。■1.不定期だよ。■2.仮と本がそこそこ空いてたらいいと思うよ。■3.考えるのが大変じゃないのがいい。FOがいいのだろうかしら。■4.意気込み？意気込みかー。意気込み。適当に頑張るつもりだよ。□5.緑色は好きだし、くすんだ色も好きかな。
プロローグ,青年ヨアヒム,村人,>>2アルビン灯りありがとー！この村確かに暗いから、灯りがあると助かるよ。>>4オットーなら、１つ貰おうかな。>>15クララこんな時間まで夢中になれる本って面白そうだね。今度俺にも教えてよ。お酒…だと…!!俺も混ぜて—！一緒に乾杯するー！
プロローグ,行商人アルビン,狩人,つい人狼の話題に触れ損ねていた。人狼だなんて大げさだろう。皆が真面目に緑色を答えてくれていて私は嬉しいよ…！おや、私が一番雑に答えているように見えるね。私は全ての緑が好きなんだ。だから緑！決して思いつかなかったわけではないよ！…もし人狼が行動を始めた時はのんびり話していられないからね。今だけでも私はにぎやかにしておくよ！>>19緑の炎は…どうだろうね？でもいい香りのする蝋燭さ。
プロローグ,旅人ニコラス,人狼,ボクも回答するよ。■1.夜(21:00~)中心に、昼も顔出せるかも。■2.仮22:45/本23:15 ■3.占即/狩潜■4.ちょっと薄暗いけど、あんぱんは美味しいし、緑に溢れてるし、いい村だね。もう少し滞在させてもらうよ。村のルールを守って楽しく過ごしたいな。□5.ふふふ、もちろんこの色さ！ばさっ！君たちとは気が合いそうだ！
プロローグ,少年ペーター,霊能者,こんばんわーみんな集まってるからオレも来てみたけど、人狼なんているわけないじゃーん兄ちゃんたち大げさだよー
プロローグ,農夫ヤコブ,占い師,>>21　灯すまでお楽しみ！ いいね、すごくいいね。ほかの明かりはどうも光が緑色になりそうな代物だったから、てっきりね。部屋の中が緑になって、きっと落ち着くね！赤色嫌いの兵士さんにお勧め！炎とかも苦手そうだし。
プロローグ,シスターフリーデル,村人,こんな時間なのににぎやかですわね。まあ、人狼騒ぎ？そんなの大げさですよ。
プロローグ,木こりトーマス,村人,人狼なんてこの斧でイチコロだぜ
プロローグ,木こりトーマス,村人,質問に答えておこう■1.基本的に22:00以降■2.仮は22:30、本は23:00■3.狩は潜伏、他は皆に任せる■4.森の空気吸ってリラックスして臨めるように善処するとしよう。多少返事が遅くなったりしても顔真っ赤にしたりするんじゃないぞ？
プロローグ,仕立て屋エルナ,村人,人狼なんているんだね。見てみたい気もするなぁ。美味しいのかな。
プロローグ,行商人アルビン,狩人,>>22やあ同士よ！共に緑のすばらしさについて語ろう！　　　そして【緑陣営CO】だ！！>>24ははは、他のものはちゃんとしたものさ。　　　（…当たりで緑色になる物もあるけどね。）>>28おやおや狼を食べるつもりかい？　　　肉食狼を食らう肉食系女子…新しいね！にぎやかになってきたねぇ。このままフルメンになりそうだ。私は明日の商売のために寝るとするよ。みんなおやすみ！
プロローグ,少年ペーター,霊能者,回答しとくねー◼1 夜は21時頃から。昼間は不定期だけど発言するようにするよー◼2  仮22:30/本23:00◼3 狩人以外は出来れば即COがいいな。◼4 楽しく出来ればいいかなー。たくさん話せるように頑張るよ！◻5 緑は好きだよー。でも黄色の方がもっと好きだな！
プロローグ,村娘パメラ,人狼,やっほー♪人狼なんていないに決まってるじゃん♪きゃは♪
プロローグ,仕立て屋エルナ,村人,アンケートはあんまりよくわかんないけどコアタイムは20時くらいなのかなぁ。決定時間は、更新30分前くらいでいいのかな。よろしくね～
プロローグ,シスターフリーデル,村人,質問にお答えしますね。■1.21:00-24:30くらいですが、不定期になるかもしれません。■2.仮22:30/本23:00を希望します。■3.狩人以外はFOがわかりやすくて好きですね。■4.シスターのフリーデルですわ。迷える方はぜひ教会へお越しください。□5.緑はいいですね。私は特に翡翠色が美しくて好きですわ。
プロローグ,村長ヴァルター,村人,ふはははははははははははは。人狼など存在せん
プロローグ,パン屋オットー,狂人,>>13 ｱﾙﾋﾞﾝ、2個と言わず10個ぐらい、持っていきな！>>20 ﾖｱﾋﾑ 好きなだけ食いな！>>22 ﾆｺﾗｽ ありがとよ！その言葉が一番嬉しいよ。■1基本的に店があるから、18時～2時だね■2仮22:30 本23:00■3占co　狩潜伏、だとやりやすいなぁ■4 人狼なんてパン食べながらでも見つけられるさ！腹が減ったらいつでもおいで！！□5緑はカビの色だからねぇ、、エメラル
プロローグ,村長ヴァルター,村人,■1.私は基本的に20:00～1:00■2.仮22:00、本22:30を希望。■3.占co、狩潜伏■4.ふははははははははははははははは□5.みずいろ、この色のジャージが好きだからだ
プロローグ,村娘パメラ,人狼,■1.んーっとね、19～25かにゃん■2.仮：22:20本：23:00■3.狩は潜伏してもらってfoでいいじゃにゃーのー？■4.パメラはみんなともっともっと仲良くなりたいの♪よろしくねん♪□5.赤だねー、勝負の色なので…(照)
プロローグ,パン屋オットー,狂人,おっと、私の↑の発言切れてるじゃないか。エメラルドグリーンは好きだよって言いたかったのさそろそろ仕込みに入らねば(´Д｀)みんな良い一日を(*´∇｀*)
