プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,羊飼いカタリナ,狩人,お布団ぬくぬく暖かいめえ
プロローグ,村娘パメラ,村人,まぁ、、人狼ですかっ寝ぼけた人が見間違えたんでしょうねだけど、、ちょっと怖いですね…カタリナさんぬくぬく暖かそう…
プロローグ,青年ヨアヒム,村人,オッス！俺ヨアヒム！人狼がいるんだって？嘘だろー？こわいなぁ！でも大丈夫！俺のヨアヒムン波で撃退してやるからよ！まだ出したことないけど！
プロローグ,村娘パメラ,村人,ヨアヒムさん来たー！！ヨアヒムン波期待してます笑
プロローグ,青年ヨアヒム,村人,まじ特訓する。うぬぬぬーん！ヨアヒムン波ー！(間違えてα波が出てしまった。周囲にリラックスムードが漂った。)
プロローグ,村娘パメラ,村人,ほぇぇぇぇ〜(リラックス中)こうやって和やかな空気にさせて人狼さんに戦意喪失させるんですね！さすがヨアヒムさんですっ(尊敬)
プロローグ,神父ジムゾン,人狼,おはようございます。最近は寒くなってきましたので、信者の皆様も是非風邪を引かないように注意しましょう。例え人狼のような忌々しい存在がいても、強い信仰心をもって神様に祈れば、きっと撃退していただけます。そしてヨアヒム君ももしかしたら、ヨアヒムン波が出せるようになるかもしれません。
プロローグ,村娘パメラ,村人,神父様おはようございます♪寒いですね…風邪と人狼だけは気を付けよう、うんヨアヒムン波は風邪も治せるって風の噂で聞きました♪万能のようですね、ふふ
プロローグ,旅人ニコラス,村人,狼さん怖い…
プロローグ,司書クララ,村人,はて…人狼とは…そのような記述がどこかにあったような…なかったような…
プロローグ,シスターフリーデル,占い師,人狼？人狼なんていないわ。嘘だわ。いたとしたら、冷蔵庫にでも閉じ込めてしまえばいいわね。
プロローグ,シスターフリーデル,占い師,まあ、実際に人狼が出たら、男の人たちが何とかしてくれるでしょう。ただ、神父様とヨアヒムさん、ニコラスさんだと少し頼りないかなあ・・・（α波でてるし）ゲルトさんは寝てばっかりだし。
プロローグ,青年ヨアヒム,村人,俺のヨアヒムン波に万能の効果が…⁉︎と浮かれていたらレディを不安にさせていた青年ヨアヒムです。おはようさん。ジムの教会に行った方がいいのかな？ただ頭空っぽのほうが夢詰め込めて髪もふさふさでいられるってばっちゃは言うんだよなぁ。ま、人が集まって来てるし人狼もこの村は避けていくかもしれないぜ！
プロローグ,青年ヨアヒム,村人,そういえば他の村をぶらぶら歩いていたらこんなもんが貼ってあった。人狼探す議論するときに役に立つ道具だそうな。■／□　　通常議題／ネタ議題 ●／○　　占い第一／第二希望 ▼／▽　　吊り第一／第二希望 【　】　　重要発言（ＣＯや非ＣＯ、占吊希望、まとめ役の指示等） ★／☆　　質問／返答 ▲／◆　　襲撃／護衛 COは自分の役職を宣言すること。
プロローグ,青年ヨアヒム,村人,みんなの略称。長，老／爺，神／髪，木／樵，旅，者，年，妙，商，羊，屋，青，娘，農，宿 修／尼，仕／服，司／書，兵青は青年、年は少年、妙は少女、屋はパン屋、者はならず者。そこまで気にしなくても大丈夫だと思うけど、使い方はこんなふう。↓【霊CO！俺が霊能者だ！】いやーそれにしても満腹で眠いや。
プロローグ,青年ヨアヒム,村人,>>名前(もしくは略称)とか>>発言番号とかで呼びかけるとわかりやすいんだってさ。>>は半角でね。★をつけて呼びかけると質問されているって気づきやすい。↓【青の霊CO確認】そして【俺は非占非霊COする】青>>16 ★ 満腹？俺は一日中食堂でパンダを描いていたが見かけなかったぞ。何を食べて満腹なんだ？怪しい…(じろじろ)
プロローグ,青年ヨアヒム,村人,青>>17 ☆えっ⁉︎いや…その…別に？何も食べてないけどさ、もごもご…エア満腹ってやつだよ！あははは…>>娘あ、パメラ、助けてくれ。ヨアヒムが俺を疑うんだよー。
プロローグ,青年ヨアヒム,村人,>>青怪しいな…人を食ってきたんじゃないか？ヨアヒムをかばってるパメラも怪しいかも…？ヨアヒムに騙されているだけか？ここは【●青◯娘】で！と思っていたら▲青されただと！ヨアヒーーーム！こんな感じだ！(霊COした人を占ってるのはみたことないけど、することもあるらしい。色んな戦術があるんだなぁ)
プロローグ,青年ヨアヒム,村人,よし、きょうもヨアヒムン波の特訓だ！ヨアヒムン波ーーー！(両手から1/fゆらぎの波動が放たれた。周囲はやっぱりリラックスムードに包まれた。朝のリフレッシュ度が1上がった！ちゃらららーん)
プロローグ,負傷兵シモン,村人,おはよう。スッキリ目が覚めたと思ったら、ヨアヒムン波のおかげだったのか…ヨアヒムはすごいやつだぜ。ただヨアヒムン波って人狼に効くんだろうか…まあ人狼なんているわけないんだから心配しすぎか。
プロローグ,村娘パメラ,村人,いらっしゃい♪旅、書、修、兵…いっぱい来てた♪今日はパーティかしら♪>>19  ふふ、青が●な訳ないじゃないっ (ヨアヒムご馳走様。ぺろり)
プロローグ,仕立て屋エルナ,狂人,おはよう！うー、寒い寒いそろそろ本格的なコートの仕立てはいかがですかーこの村は、ヨアヒムン波で少しは緩和されてるかもしれないけど…狼の毛皮は仕立てには向かないんですよねぇ人狼の皮はどうかな…って、人狼なんかいないから余計な心配でした♪
プロローグ,青年ヨアヒム,村人,理想としては人狼ぶちのめすような光線が出したいんだけど何故か脱力系になっちまうんだ。これでシモンの怪我も治せたらいいんだけどなぁ。エルナも来てくれたし、フルメン来るかな？更新深夜だし【立ち会い不要】って言うと人が集まるらしい。俺も不定期で更新まわりいたりいなかったりだ！>>パメラくぅう、ドキッとさせやがってこの小悪魔ちゃんめ！君に食われるなら俺は本望だ！
プロローグ,仕立て屋エルナ,狂人,僕も更新周りちょっときついなー！立ち会い不要にしよう！立ち会いは任意、ヨアヒムン波で癒されるよー。風邪も治るよー。ダイエットにもいいよー。いいこと尽くめだ！…ところで、ヨアヒムン波は、狼のお腹の中からでも効果があるのかな…
プロローグ,青年ヨアヒム,村人,お約束の回覧板も見よう見まねで回しとこう。プロでは動くように見えるだろ？始まったらめっちゃ大人しいから！まとめとかできない系だけどニートじゃないぞ！■1.コアタイム■2.仮決定/本決定の時間■3.やりたいこと/やりたくないこと□4.自己紹介□5.どうしたらヨアヒムン波がかっこよく出るようになりますか？>>エルナ食われたら…やってみる…狼さん、いたくないよう丸のみして下さい。
プロローグ,青年ヨアヒム,村人,セルフ回答■1.不定期。朝昼多め。更新前後は覗けたら覗く。割と深夜にも来たりする。土日はほんとに神出鬼没。もし役職就いたら…結果同時出しとか遺言COとかは鳩しかないしやったことない！こわい！無理！マジすまん！■2.仮>本>更新の間があんまり狭いと確認しにこれないかも。まかせるけど、仮は早めがいいなぁ。
プロローグ,青年ヨアヒム,村人,■3.楽しく/さつばつ。それからメタ推理はあんまり…何CO目でも真なら出るしかないからね。発言時間は反論しようもないし、って思ってる人。プロでは喋り散らしてるけど始まったら考察苦手で薄くなるし、メタは程々で頼んますー。□4.愛と平和の普段着青年戦士ヨアヒムです。無職じゃねえ！□5.守るべき人がいると強くなれるのかな？
プロローグ,村娘パメラ,村人,エルナさんこんにちは♪コート良いですね♪人狼さんのコートは…暖かいのかしら青>>26 回覧板ありがとうございます♪■1 不定期 夕方以降活発 土日含■2 仮/本皆さんに合わせます■3 希望のある事、明るく楽しく/希望のない事
