プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,パン屋オットー,村人,人狼パンとか焼いたら商売になるかな？
プロローグ,パン屋オットー,村人,回覧板を置いておきます。■１.コアタイム■２.仮決定/本決定時間希望■３.やりたいこと/やりたくないこと■４.自己紹介
プロローグ,パン屋オットー,村人,後は会報がこんな所に。・●：占い第一希望　○：占い第二希望・▼：吊り第一希望　▽：吊り第二希望・■：議題　□：ネタ議題　・【　】：…宣言や決定等、強調したい発言。・［ ］：RP上の食べ物やアイテム、ト書に使用。・★：質問や強調したい事　☆：回答
プロローグ,パン屋オットー,村人,略語・CO：自分が能力者であることを公表すること。・FO：フルオープンの略。初日に占い師も霊能者もCOすること。・GJ：グッドジョブの略。狩人の護衛成功などに使う。・LW：ラストウルフの略。最後に残る人狼のこと。・GS：グレースケールの略。自分以外の灰を、白っぽい（村人っぽい）人から黒っぽい（人狼っぽい）人まで順に並べたもの。・SG：スケープゴードの略。狼の代わりに吊られる村人の意。
プロローグ,パン屋オットー,村人,・黒即白３：占い結果が黒ならすぐに白なら夜明け３分後に発表する方法。　黒１白３は結果が黒なら1分後、白なら3分後に発表すること。・灰：能力者COしておらず、人間とも人狼とも判別されていない人物のこと。・ベーグル、ベグる:人狼が真贋不明の占い師候補の片方を噛む戦術のこと。・ライン：狼同士のつながり。・鳩：携帯電話またはスマホの事。・箱：パソコンのことらしいよ。軽く目を通したので僕は散
プロローグ,パン屋オットー,村人,散歩にでも出かけようかな…。（躓いた気分）
プロローグ,村娘パメラ,人狼,私にもパンを…(ｶﾞｸｯ
プロローグ,青年ヨアヒム,霊能者,御早う、皆。昨日の酒盛りで二日酔いな僕だよ。パンが食べたいけど、人狼入りは厭だなァ…。オト回覧有り難う。■１.不定期でぼちぼち/コアタイム前は出来るだけ参加■２.１時間前/30分前■３.楽しくＲＰ/季節の変わり目だけど流行病には気を付けないとね■４.そろそろ職探しでもしようかな～…僕に合った仕事ってなんかない？
プロローグ,青年ヨアヒム,霊能者,さて、村の掃除でもしに行って来るね。決して木陰で居眠りしに行く訳じゃないよ。ニートはニートなりに、色々あるのさ…**
プロローグ,少女リーザ,人狼,私はドラゴンボールを集めているリーザという者です。このあたりに反応はなかったのですが何やら楽しいゲームが始まるとのことでやってきました。ルールどおり吊られたり襲われれば死にますよ。私は優しいですからね。
プロローグ,少女リーザ,人狼,■１.22～24自■２.30分前/1時間前■３.不老不死■４.私の戦闘力は530000です。 
プロローグ,少女リーザ,人狼,さて、ゲームが始まるまでゆっくり待つとしましょうか。ああザーボンさん、それポンです。
プロローグ,負傷兵シモン,村人,みんなおっはよー♪愛と勇気と希望の負傷兵シモーヌよ。あら、ゲルトったら今年のハロウィンは人狼のコスプレをするの？やーねー、もうこんなとこでネタバラシしないでちょうだいっ！楽しみがなくなっちゃうじゃな～い♪(今年はミイラ女の仮装にしようかしら)
プロローグ,負傷兵シモン,村人,あら、アタシのところにも回覧板がきてるわね。オットーありがと。[...は投げキッスを送った]■１.22:00～ならいると思うわ。夜遅いのは得意じゃないわね。■２.22:15/22:45■３.楽しくやるのが一番ね。ネタもいれつつ色々と模索したいわ/流行病はダメ。予防注射打っといたほうがいいわよ。殺伐としたのもちょっと嫌ね。エピは楽しく迎えましょ♪■４...一応.言っとくけど、ついてるわよ
プロローグ,負傷兵シモン,村人,>>屋あら、お散歩に行くんだったらアタシとデートしなぁい？>>娘ちょっと！大丈夫？ほら、これを飲んで意識をしっかり保つのよ[...はオロナミン●を取り出した]>>青仕事探し中なのぅ？私の愛人とかどうかしら？給料はでないけど、暖かい食事とベットつきよ♪>>妙今日はドラゴンボールごっこ？リーちゃんはいつも可愛いわね♪あっちにそれっぽいものがあったわよ。[...は八百屋を指差した]
プロローグ,負傷兵シモン,村人,あらやだ！いい男っ！！！まってぇ～！！アタシ、あなたのこともっと知りたいの！！あと、アタシのことも知って♪…お互い、本当の自分を見せ合いましょう？[...はどこかへと去っていった]
プロローグ,ならず者ディーター,狩人,溶けた氷の中に恐竜なんているわけないぜ、摩訶不思議だなあ
プロローグ,シスターフリーデル,村人,人狼なんか、本当にいるのかしら？信じられないわ。
プロローグ,村娘パメラ,人狼,人狼なんて正直どうでもいいわ。それより、パンを…。野菜でもいいわね。
プロローグ,農夫ヤコブ,占い師,人狼パンはネーミングだけで食べたくなくなるだ。
プロローグ,農夫ヤコブ,占い師,パメラは野菜が食べたいだがや？【梨】【桃】【ぶどう】【フレープフルーツ】果物では駄目かなあ・・・？
プロローグ,シスターフリーデル,村人,■１.21:00〜■２.1時間前／30分前■３.楽しくやりたいわ／ギスギスしないように。敬意と優しさを持って接することが大事ね。■４.教会で働きながら、病気や怪我をされたかたのお世話をしています。ちょっとおっちょこちょいだけど、皆さんのお役にたちたいわ( ´ ▽ ` )
プロローグ,農夫ヤコブ,占い師,シモンは、そのキャラ設定でやるんだがや・・・？半径２万ｍ以内には近づきたくないだよ。おらはノーマル独身２５歳だや。下は２０歳から上は３０歳までＯＫだや。ただし女性限定だや。
プロローグ,農夫ヤコブ,占い師,■１.夜だよ　更新前後には居れるよ■２.２２：３０くらいかなあ■３.殺伐だけは嫌だな。■４.土と戯れて働いているんだよ。
プロローグ,村娘パメラ,人狼,ヤコブ、ありがとねー。あ、新しく来た人よろしく！[…はと言いながらヤコブのくれた果物を全部持ってどこかへ行った。]
プロローグ,シスターフリーデル,村人,パメラさん＞空腹のときはまず、胃に優しいものから召し上がった方がいいわ。つ[胃に優しい劇辛ジャンバラヤ］
プロローグ,旅人ニコラス,村人,私は緑国の王子です。この村に新たなる緑が生まれつつあると聞いてやってきたのですが
プロローグ,青年ヨアヒム,霊能者,秋晴れの芝に寝転び、鳩を愛でながらニートな僕は今如何やって喰ってんだろうと思案。やっぱり富豪の未亡人か、レジーナ辺りのヒモなのかな。>>兵熟女のヒモも飽きたから、趣旨代えも悪くないかもね。お小遣い位は欲しいけど。>>妙リズの攻撃力の高さに、僕の鼓動のスカウターが爆発しそう。二段階で醜く変化しても、未だ僕を見詰めてくれる？
プロローグ,青年ヨアヒム,霊能者,>>娘尼リデルのジャンバラヤに、優しさ騙りのＳ疑惑が、僕の中で浮上してるよ。パメ、僕はこう見えて結構気が回るんだ。何たってニートだから。ジャンバラヤのお伴にこれを呑むと良いよ。〔…は娘に精力増強唐辛子100%ジュースを手渡した〕
プロローグ,ならず者ディーター,狩人,みんなよろしくな俺は安住の地、変態のいない村を探して彷徨(さまよ)ってるんだが……次の村に旅立とうかなー
プロローグ,青年ヨアヒム,霊能者,>>者僕はテリトリーが広いだけで変態じゃないよ。次の村になんて旅立たないで欲しいな。リズの戦闘力の高さから見て、対抗出来るのは、金髪逆毛戦士しか居ないんだ。僕の見立てでは、ディタが一番それっぽい。>>農旅緑の王子が来たら農業も栄えるね。ニートで喰うに困る僕には、豊作で物価下落は大歓迎だよ。
プロローグ,ならず者ディーター,狩人,人生は甘くないなむしろ激辛か……
プロローグ,ならず者ディーター,狩人,>>青年覚悟は決めてるぜと、言うか……緑王子が来てから村からなぜか出られないんだ
プロローグ,仕立て屋エルナ,村人,えへへ
プロローグ,村娘パメラ,人狼,>>リデル>>ヨアありがとう、いただくよ！[…は何事もなかったように全て食べ切った]
プロローグ,農夫ヤコブ,占い師,あたらしく来た人、元々居た人　改めて宜しく。フリーデル>>23　は　やさしいイメージで　惚れてしまうだや。だども>>27みて　騙されているんじゃないかと思っただや・・・。ヨアヒム>>32　おらは果物専門だがや。野菜はつくらねえだ。物価下落とか出荷しても赤字とかは嫌だでに。
プロローグ,農夫ヤコブ,占い師,★ディーター>>31　ディーターの言う　”変態”　の定義を教えて欲しいだ。おらには変わった人がいるくらいの感覚だべ。もちろん近寄ると危ない人もいるような気がしているだ。たとえばフリーデルとか　フリーデルとか・・・。ひょっとしてこれは気になることの裏返しだがや？　おら本当はフリーデルの傍に行きたいんだがや？だれかおらの心の葛藤を謎解いて欲しいだや。
プロローグ,農夫ヤコブ,占い師,リーザとパメラとフリーデルとエルナには　おらの第一印象を聞きたいだや。●占いたい　▼吊りたい　▲襲撃したい　今夜には明日になるだや（変な日本語・・・）。楽しみだや。
プロローグ,ならず者ディーター,狩人,ヤコ☆>>31 すまない、ちょっと村のみんなに失礼だったな。本当にみんなには申し訳ない。まあ、俺にもちょっと変わった趣味はあるんだがこれは黙秘するぜ。とりあえずシモンはヤコに任せたよ
プロローグ,農夫ヤコブ,占い師,・・・　っえ？ディーター>>40　シモーヌさんは、おらの守備範囲外だや。困るだや。　嫌も嫌も好きのうちじゃねえだや・・・・[ヤコブは何かを感じて畑に向かって走っていった・・・・・・]
プロローグ,負傷兵シモン,村人,…ふぅ。イイ男とのアバンチュールから戻ったら随分と人が増えてるわね。みんなよろしくね♪>>農ヤコったら照れ屋さん！天邪鬼なトコも可愛いわぁ。アタシは心は乙女だから問題ないわね。ちなみに、ノンケでも構わないわよーと、思ったらリデルにお熱のようね。人の恋路を邪魔するほど能天気ではないわ。若いうちは沢山恋をして沢山失恋するのが一番！オネーサンが、ヤコのこと応援するわ♪頑張ってね。
