プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,旅人ニコラス,占い師,よろしくお願いします
プロローグ,農夫ヤコブ,人狼,やあ、おはようニコラスさん。よろしくね。
プロローグ,農夫ヤコブ,人狼,「回覧板」を置いておくよ。村の皆は、答えてくれると嬉しいな。◼︎1.コアタイム(主に参加できる時間)◼︎2.仮決定/本決定時間◼︎3.やりたい事、やりたく無い事◻︎4.自己紹介
プロローグ,農夫ヤコブ,人狼,φ(・ω・).｡oO（えっほえっほ、僕の分の回答例だよ）◼︎1.　22:00～24:00くらいだよ。短くてごめんね。朝昼晩と鳩で見るよ。◼︎2.　21:45／22:15◼︎3.　全員が楽しく真剣にやれると嬉しいな。／他の人を傷つけないよう、言葉に気を付けるよ◻︎4.　畑と家畜の世話で大忙しのヤコブだよ。好きに呼んでね！
プロローグ,農夫ヤコブ,人狼,連続でごめんね、最後に1つ。■5. 初日は「相談時間」を設けてみたいな。他の皆はどう思う？近くの村で聞いたんだ。（G1824村参照）相談時間は、1日目だけ更新時間から15分ほど、白ログ発言を禁止することだよ。狼陣営に、騙りに出るか相談する時間を与えるんだ。初日にCOの速さで信用の差がついてしまって騙りが不利になりやすいから、その対策だね。長々失礼。畑の様子を見てくるよ。**
プロローグ,負傷兵シモン,人狼,よろしくお願いします
プロローグ,木こりトーマス,村人,トーマスだよぉ
プロローグ,木こりトーマス,村人,ヤコブさんの残してくれてる回覧板書くよぉ◼︎1.　ランダムだけど大体20:00～22:30くらいかしら。昼も覗けるかも。夜明けにはなるべくいるようにするよぉ◼︎2.　～21:30くらい／22:00くらいだと確実◼︎3.　ギスギスするのがちょっと苦手～　基本は楽しく広い心で◻︎4.　木こりのゴリラ、トーマスだよぉ
プロローグ,木こりトーマス,村人,■5. 「相談時間」について古い文献をこつこつ読んだけど、あったほうがいいかもね～。COタイミングってあるとどうしても見ちゃう感じするし。でもそれを見るのも大事なこともあるのかしらとも思ったりするから難しいところなのかもよねぇ。基本賛成、もしなくても村の意向に従うよぉとりあえずヤコブさんの言ってる村覗いてくるよぉ
プロローグ,木こりトーマス,村人,ゲルトって可愛い顔してるわよね
プロローグ,農夫ヤコブ,人狼,シモンさん、トーマスさんよろしくねー！回答もありがとう〜。他の村のみんなも集まってくれるといいなあ。
プロローグ,農夫ヤコブ,人狼,（はっ…ゲルトさんが狙われている……！？）
プロローグ,木こりトーマス,村人,残念、揃わなかったのね～　気楽に待つよぉヤコブチャンよろしく～
プロローグ,農夫ヤコブ,人狼,人が来てくれたらいいね～。僕ものんびり待つよ。
プロローグ,木こりトーマス,村人,ヤコブチャン……！意図せずなんか変な変換に…！でもなんか可愛いからこのままいくよぉ
プロローグ,司書クララ,村人,おはよう。宜しくね。
プロローグ,農夫ヤコブ,人狼,クララさん、よろしく～。トーマスさんは可愛いもの好き……と。
プロローグ,司書クララ,村人,>>4　農回覧板ありがとう。◼︎1.基本は20時以降かしら。たまには遅れるかもしれないが更新時間には立ち会えると思うわ。◼︎2.仮21:00本22:00で良いかな。◼︎3.楽しく、諦めずに/荒し行為、勝負を諦めること◻︎4.あたたか～いお部屋に引きこもって本を読むのは最高じゃないかな。
プロローグ,村娘パメラ,村人,空いてて良かった日の沈まぬ村｡日が沈まないから日没は無い｡日没が無ければ夜明けも無い｡夜明けが無ければ襲撃も無い｡つまり､人狼なんているわけないじゃん｡大袈裟だなあ｡
プロローグ,負傷兵シモン,人狼,包帯をかえていました…ヤコブさんありがとう、回答させてもらいます。◼︎1.　大体22:00～24:00くらいですが、昼なども覗かせてもらいます。◼︎2.　22:00／23:00◼︎3.　皆さんでワイワイ楽しくできたらいいと思います。殺伐としてるのは苦手です◻︎4.下っ端兵士のシモンですよろしくお願いします■5. 「相談時間」について基本的に村の意向に従わせてもらいます。
プロローグ,司書クララ,村人,■5.相談時間は要らないと思うわ。COタイミングの前後ぐらいのメタ推は個人の自由だし、それが言い出されたらどう判断するのも皆さんが考えるべきことかしら。そもそもメタ推好きでない方なら最初からそういうのを考慮に入れないだろう。
プロローグ,負傷兵シモン,人狼,私もヤコブさんの言う村を覗いてきますね。
プロローグ,司書クララ,村人,あっ、それに一応初心者村ってことで、用語とか前の初心者村から適当に借りてきた。皆さんどうぞお読みください。【記号の使い方】■／□　　通常議題／ネタ議題 ●／○　　占い第一／第二希望 ▼／▽　　吊り第一／第二希望 【　】　　重要発言（ＣＯや非ＣＯ、占吊希望、まとめ役の指示等） ★／☆　　質問／返答 ▲／◆　　襲撃／護衛 
プロローグ,村娘パメラ,村人,回覧板有難う〜｡◼︎1.20時過ぎ◼︎2.21:45/22:15◼︎3.楽しくやりたいなー｡/ひぼーちゅーしょーダメ絶対◻︎4.ぼくは誤ロックに定評の有るパメラニアンなのだ｡
プロローグ,少女リーザ,村人,リィだお。よろしくね。
プロローグ,司書クララ,村人,【略称など】長，老／爺，神／髪，木／樵，旅，者，年，妙，商，羊，屋，青，娘，農，宿，修／尼，仕／服，司／書，兵青は青年、年は少年、妙は少女、屋はパン屋、者はならず者。>>名前(もしくは略称)とか>>発言番号（一応アンカーも付くが日をまたって使えない）とかで呼びかけるとわかりやすいかしら。★をつけて呼びかけると質問されているって気づきやすいので、質問する時は是非お使いください。
プロローグ,村娘パメラ,村人,相談時間はありだと思う〜｡其処で推理されると出遅れた真も不利ついちゃうし､｡あとさあとさ､人狼の処刑方法をみんなで考えるのだ｡えっ､駄目？ちぇ〜｡
プロローグ,司書クララ,村人,>>21　シモンさん本決定時間は更新前だから（そこから村全員が決定に従って行動するので）、できればもう少し早めにきていただいたら嬉しい。あっ、でももとろんリアルは優先でね。
プロローグ,農夫ヤコブ,人狼,パメラさん、リーザちゃんよろしく～。クララさんは用語集ありがとう。とっても助かるよ。
プロローグ,司書クララ,村人,リィちゃん、パメラちゃんおはよう！よろしくね。
プロローグ,シスターフリーデル,霊能者,初めましてですの
