プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,青年ヨアヒム,村人,人間なんているわけないじゃん。みんな大げさだなあ
プロローグ,村長ヴァルター,村人,村長なんているわけないじゃん。みんな大げさだなあ
プロローグ,少年ペーター,人狼,人参なんて食べれるわけないじゃん。みんな大げさだなあ。
プロローグ,神父ジムゾン,狩人,この髪が偽物のわけないじゃん。みんな大げさだなあ。
プロローグ,少年ペーター,人狼,ホントかな？試しに引っ張ってみよっと！（ぐいぐい
プロローグ,旅人ニコラス,人狼,ぼくが道に迷ったわけないじゃん。みんな大げさだなあ。
プロローグ,少年ペーター,人狼,ぼくが看板を倒したからなわけないじゃん。みんな大げさだなあ。
プロローグ,少年ペーター,人狼,いたずらばかりしてる子は人狼に食べられちゃうぞって？人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,村娘パメラ,占い師,ボクがかわいいのは当たり前だけどね、大げさじゃないよ
プロローグ,少年ペーター,人狼,>>10それこそ大げさ・・・、いや、パメ姉が可愛いのは大げさではないよね！！！べ、別に？パメ姉が怖いわけないじゃん、みんな大げさだなあ
プロローグ,旅人ニコラス,人狼,今日始まらないわけないじゃん。みんな大げさだなあ。
プロローグ,村娘パメラ,占い師,>>11ボクにみとれてしまったんだね、分かるよだってボク、かわいいものじゃ、しばらくアイドル活動をしてくるよ
プロローグ,青年ヨアヒム,村人,idolなんているわけないじゃん。みんな大げさだなあ
プロローグ,旅人ニコラス,人狼,ニートなんているわけないじゃん。みんな大げさだなあ。
プロローグ,少年ペーター,人狼,あと３人来ないわけないじゃん。みんな大げさだなあ>>13(見とれたわけないじゃん。大げさだなあ)ﾎﾞｿｯ
プロローグ,ならず者ディーター,村人,善人なんているわけないじゃん。みんな大げさだなあ
プロローグ,村長ヴァルター,村人,こんばんは。前村長のヴァルターだよ。落選なんてしたわけないじゃん。大げさだなあ。けっこう時間の都合のいい村だから今日にでも始まるかと思ってたけど、甘かったかな？とりあえず離席するが、まあみなさんゆっくりしていってください。
プロローグ,ならず者ディーター,村人,長>>18　前村長…ってことは、今この村って村長いねーのかよ！なんて村だ！
プロローグ,少年ペーター,人狼,>>17わあ、ディタ兄は言うことがならず者だなあ。こわいなあ。>>18村長あらためヴァル兄は落選したんだねー。ということは今誰か立候補したらなれるんじゃない？村長。え、ぼく？立候補するわけないじゃん。みんな大げさだなあ
プロローグ,少年ペーター,人狼,そういえば議題というのがあったよね。忘れてたわけないじゃん。みんな大げさだなあ。■1.コアタイム■2.希望決定時間/本決定時間■3.やりたいこと/やりたくないこと■4.自己紹介
プロローグ,少年ペーター,人狼,■1.決まった時間に来れるわけないじゃん。みんな大げさだなあ■2.一時間前/三十分前でいいじゃん。みんな大げさだなあ■3.楽しくやりたい/凸死したくないに決まってるじゃん。みんな大げさだなあ■4.ペーターだよ。人参が嫌いな普通の男の子だよ。いたずらなんかするわけないじゃん。みんな大げさだなあ
プロローグ,農夫ヤコブ,村人,ふぁーあ……ねむいな……寝てていい？
プロローグ,青年ヨアヒム,村人,信任投票で落選するわけないじゃん、みんな大げさだなあ僕は不信任に投票したよ。一人ぐらいいいいでしょ議題を出せるとは少年は良い少年だね■1.更新時間まで起きてられるわけないじゃん。みんな大げさだなあ（19:00～23:00位)■2.まとめがきめればいいじゃん。みんな大げさだなあ■3.僕がニート以外する訳無いじゃん。みんな大げさだなあ■4.青年Ｙ『ついかっとなってやった、別に後悔してない
