プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,農夫ヤコブ,村人,こんな平和な村に人狼なんているわけねぇべ。どうせどっかのバカが噂流したんじゃねぇべか。最近の子供はゲームのやり過ぎだと思うべ。子供にも仕事を手伝わせなアカンと思うべ。農業とかやらせるべきだと思うべ。(自分が休みたいだけ)だいたいこの宿ボロ過ぎだべ。改装工事でもしてほしいべ。
プロローグ,少女リーザ,人狼,ピコピコピコピコ。あっ、たまごっちがうんちした～。じゃーしなきゃ。じゃー。外は寒いのん。お散歩なんかいかないもん。りーたんおうちが好きだもん。
プロローグ,少女リーザ,人狼,あっ、ママがね、お泊りする人にはこれ書いといてもらいなさいっていってたのん。■1.コアタイム お宿に滞在するじかん■2.仮／本決定希望時間 ■3.これだけは食べられないもの（したくないこと）大好物（メシウマー）□4.あなたのこといっぱいおしえて？これから一週間仲良くするんだし！
プロローグ,少女リーザ,人狼,りーたんは、ここの宿の美人若女将？のひとりむすめなのん。ママはお買い物に行ってるのん。■1.このたまごっち鳩ぽっぽ機能がついてるの。箱はあんまりつかえないのん。■2.21時半/22時くらい？バタバタぐだぐだ嫌なん。■3.なめこのお味噌汁/おっきなフルーツパフェ！おしゃべりしながらみんなで食べるのって幸せなん。
プロローグ,農夫ヤコブ,村人,おいリーザ、ママにこの宿ボロいから改装工事してって言ってくれだべ。こんなボロ宿に一週間もいるなんて考えられないべ。これを書けばいいべね。■1.8:00～11:00だべな。他は鳩で覗く程度だべ。■2.仮21:30本22:00ぐらいがいいと思うべ。遅すぎはだめだべ。■3.ひじき/野菜サラダ、甘いもの。最近の子供は野菜を食べなさ過ぎだべ。リーザ、ブロッコリー食えだべ。
プロローグ,農夫ヤコブ,村人,上の■1の回答は午後の話だべ。午前じゃないべ。
プロローグ,少女リーザ,人狼,ぴぽぱぽ「ママへ…お客のヤコブさんが、宿がボロいから改装しろ！じゃないと娘の命はないものと思え。スマイルプリキュアの人形買ってこい、って言ってるん！りーたんヌッ殺されちゃうよ助けてん・°°・(＞_＜)・°°・。」メール送信完了なん！ふー
プロローグ,少女リーザ,人狼,ぶっころり大好きなん！ぶっころりがぶっ。もしゃもしゃもしゃ。
プロローグ,農夫ヤコブ,村人,スマイルプリキュアって･････なんでそうなるんだべ！これじゃおでが誘拐犯みたいじゃねえかだべ！だいたい誘拐されてるやつがどうやってメール送るんだべ！今日の昼食どうするべ？リーザが言うには美人若女将？は買い物行っとるし、おではサラダしか作れないし･････
プロローグ,農夫ヤコブ,村人,結局昼飯は目玉焼き(焦げてる)とご飯(おかゆになってる)とサラダ(完璧)だけだべ。みんな遅すぎだべ。集合時間は22:45だべよ？
プロローグ,少女リーザ,人狼,ぴこぽこぴこ「ママへ…誘拐犯さんはごはんがへたですん。りーたん飢え死にしちゃうよん！助けてですん！」ママ…。・°°・(＞_＜)・°°・。
プロローグ,少女リーザ,人狼,もう喉温存なんでやめますん。ヤコブさんとキャッキャウフフするですん！パパのとっておきのワインを開けちゃいますん！♪(*^^)o∀*∀o(^^*)♪
プロローグ,農夫ヤコブ,村人,おで酒飲めね。リーザ！未成年が酒飲んじゃいけないべ！そしておでは誘拐犯じゃないべ！そして三人しかまだ来てないべ！
プロローグ,少女リーザ,人狼,うぃーっく！おさけのめらいの？どちて？りーたんがのましてあげるのよん？りーたんゆーかいされた！おまわりさーん！
プロローグ,農夫ヤコブ,村人,酒を飲むな！だべ！おまわりさん呼ぶなだべ！あ！こいつをおまわりさんに酒飲んだってつき出したらいいのかだべ。ただ絶対こいつ「この人に誘拐されたんですん。おまけにお酒飲まされたですん。」とか言いそうだべ。
プロローグ,少女リーザ,人狼,えへへーなんかふわふわいいきもちーん。この高級生ハムと、スイスから直送で頼んだかまんべるちーずもたべますん？はい、あーんふふふ、共犯ですん！
プロローグ,農夫ヤコブ,村人, >>17･･････････････････････････････････････････(怒)
プロローグ,少女リーザ,人狼,びくっ！うわぁぁぁぁん！怒ったー。・°°・(＞_＜)・°°・。こわいよーえーんえーん
プロローグ,農夫ヤコブ,村人,ゲルトーこいつをなんとかしてくれだべ。ゲルト「え？なに？どうかした？僕は今眠いんだ。あとお幸せでー。Zzzzzz」[.....は、ゲルトを殴った。]ゲルト「Zzzzz」イラッ
プロローグ,少女リーザ,人狼,えっくえっくえっくりーたん、スマイルプリキュアのお人形買ってくれたら仲直りしてもいい。えっくえっく（チラッ
プロローグ,農夫ヤコブ,村人,[.....は、目が怒っている笑顔をリーザにむけた。]リーザは一度黙れだべ。だれでもいいから誰か来てくれだべー。
プロローグ,少女リーザ,人狼,ごめんなさいですん。自粛しますん。真面目にするですん。こちらのお宿はいいお宿。ちょっとボロいけど美人女将が心を込めておもてなしいたしますん！是非みなさまおこしくださいですん！
プロローグ,ならず者ディーター,村人,邪魔するぜぇ。今日のディーター様はならず者らしくカツアゲとか…って二人しかいねぇし。何二人で漫才してんだお前ら。
プロローグ,農夫ヤコブ,村人,ヤコブばんざいだべ！ならず者も歓迎だべ！リーザに比べればだべ。漫才ってそう見えるだべか？にしてもみんな遅すぎだべ。あと一時間切ってるだべよ？
プロローグ,ならず者ディーター,村人,■1.夜だな。■2.十二時前後。■3.嫌いなもんは無ぇ。村騙りだろうがギドラだろうがどんと来いだ。おもっきしネタ塗れでもOKだぜ。□4.俺ぁ学校行ってねぇからロジックとかには期待しないで欲しいが、まあ頑張るぜ。
プロローグ,ならず者ディーター,村人,うおっつ。更新十時か。だったら仮本は九時くらいか。
プロローグ,ならず者ディーター,村人,この調子じゃ始まるまではかなりかかりそうだな。明日には集まるといいが。暇だから【狩CO】でもしとくか。
