プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,パン屋オットー,村人,つ[コッペパン]
プロローグ,パン屋オットー,村人,はじめまして。パン屋です。基本中の基本、コッペパンを焼いてみました。みんな、いくらなら買ってくれるかなぁ?
プロローグ,パン屋オットー,村人,■1.コアタイム■2.仮/本決定時間■3.やりたいこと/やりたくないこと■4.自己紹介□5.僕の焼いたコッペパン、値段つけてみてね。
プロローグ,パン屋オットー,村人,自分で立てて、自分に答える。これもパン屋の仕事だね。□1.21時から23時□2.仮60分前、本30分前□3.最後まであきらめない□4.自分にいまいち自信が持てないパン屋です。箱以外は発言が出来ないので、基本夜型のパン屋です。□5.65円。コレ以上で買ってくれるなら新作のパンを作り出します。
プロローグ,行商人アルビン,霊能者,人狼だなんておおげさだなぁ
プロローグ,行商人アルビン,霊能者,なんかあるから答えて寝ようかなぁ。■1.夜だね。昼は見れないかもしれない。■2.できれば仮は23時くらいに一度出したい。本決定は6:00～6:30くらい？朝村だから夜に本決定まで出して、立会い不要にするって手もあるかな。■3.みんなで楽しく。■4.なんでも買い取るし、売るよ。品揃えにも自信あるよ。□5.とりあえず５ゲルトで買い取ろうか。
プロローグ,行商人アルビン,霊能者,もう寝ようかと思うけど朝までに人集まるかな？もし始まったのに寝過ごして更新立会いできなかったら笑えないね。まあ起きれるよう頑張るさ。じゃ、おやすみ。
プロローグ,行商人アルビン,霊能者,おや、全く集まっていませんねぇ。もう一眠りしましょうか…。ｽﾔｧ
プロローグ,パン屋オットー,村人,>>7アルビンさん"□2."の案、ｲｲﾈ!　よく考えたら朝の忙しいさ中、仮や本のまとめは難しいよね。訂正。□2.は、ボクも仮23時、本は6:30に希望を変えます。アルビンへ★　ボクのコッペパンを5ゲルトで買い取って、何ゲルトで売るつもり?
プロローグ,行商人アルビン,霊能者,オットー☆>>10そうだな、8ゲルトかな。僕はそんなボッタクリはしないよ。人が来ないしちょっと遅いけど朝ごはん置いとけば匂いに釣られてくるかな。[目玉焼き][焼いたベーコン][ベイクド・ビーンズ][焼きトマト][焼きたてのコッペパン]食後には各種紅茶やコーヒーをどうぞ。
プロローグ,行商人アルビン,霊能者,用語集も置いておこうか。【】重要事項のCO時使用■議題　□ネタ議題●占い希望　○占い第二希望▼吊り希望　▽吊り第二希望 ★質問　☆質問返答（★で答えてもOK）▲襲撃　@残りの発言数CO：カミングアウト。主に能力者であると告白することFO：フルオープン。基本的には占、霊が（初日に）COすること
プロローグ,行商人アルビン,霊能者,LW：ラストウルフ。最後の狼SG：スケープゴート。狼が自分の身代わりに吊らせる村人GS:グレースケール。自分以外を白（村人）っぽい人から黒（人狼）っぽい人まで順に並べたもの斑：占ｏｒ霊の判定が白と黒に分かれた人のこと白：村側の人黒：人狼灰：人間か人狼か分からない人物・正体がわれていない人ライン：狼同士のつながり。幻想という噂も 箱：パソコン鳩：携帯電話などの外出先からの参加手段
プロローグ,羊飼いカタリナ,占い師,よろしくなの～
プロローグ,羊飼いカタリナ,占い師,■1.20時~は参加できるようにがんばるの～■2.占い師なんかがセットが間に合わないといけないから、仮決定は23:30くらいにはしておくべきだと思うの～。本決定は6:30でもいいと思うの～。■3.みんなで仲良くしたいの～。■4.村はずれで羊を育ててるの～。忙しくてお昼は来れないと思うの～。□5.75円出すの～。新作は試食させて欲しいの～。
プロローグ,少年ペーター,村人,くんくん……わあ、美味しそうな匂い！
プロローグ,少年ペーター,村人,■1.20時～23時　朝も少しならいられるよ！■2.仮決定は23:00、本決定は6:30位がいいなー。あんまり夜更かしすると、お姉ちゃんに怒られちゃう……■3.楽しくやりたいな！■4.お姉ちゃんと二人で暮らしてるんだ！　お昼はお姉ちゃんのお手伝いをしてるから、来られないよー。□5.うーん、パンは大好きだけど、お小遣いは50円なんだ……うう、買えないや……。
プロローグ,司書クララ,狂人,皆さんよろしくお願いします
プロローグ,神父ジムゾン,村人,嘘つきの村ですか。私にぴったりの村ですね（何
プロローグ,神父ジムゾン,村人,■1.21時～ですが昼間もある程度は■2.23:00-6:30でいいかなと。ちょっと更新立会いは難しいかも知れませんが。■3.みんなと仲良く楽しみたいです。■4.毎夜邪神にお祈りを捧げております。□5.100円。ワンコインでかいます。
プロローグ,司書クララ,狂人,■1.22時～24時　でしょうか？朝の時間もいられると思います■2.仮決定23:30、本決定6:30位が希望です■3.楽しくやりたいと思っています■4.普段は図書館で司書の仕事をしています。日中は本の管理等の仕事がありますので来るのは厳しいですね。□5.小麦アレルギーでパンは食べられないので買い取れないですね、お力になれずすみません。
プロローグ,少年ペーター,村人,そっか、クララちゃんもパン食べられないんだ……じゃあ、代わりにこれあげる！　つ[お花のかんむり]へへっ、僕が作ったんだよ！
プロローグ,少年ペーター,村人,えー、ジムゾンさんは神父さんなのに嘘つきなの？　ならかんむりはあげないよ～。
プロローグ,神父ジムゾン,村人,>>23いえそんなことはありません。【嘘を吐き】ということが【嘘】なのです。つまり私は【正直者】ということになるのですが、そうなると今度は【嘘を吐き】が【真実】になる。世の中難しいですね。私が信仰している神は邪神●ドーです
プロローグ,少年ペーター,村人,えっと、えーっと……よく分かんないや（泣）神父さんはやっぱり頭が良いんだね！ところで「じゃしん」ってなんだろう……偉い人なのかな？僕は神様より、焼きたてのパンの方が好きだな～。
プロローグ,旅人ニコラス,村人,おや…こんなところに村が…ふむ…嘘つきの村ですか…しばらくここに留まるとします…みなさんよろしくお願いします…
プロローグ,旅人ニコラス,村人,■1.22時から25時頃…朝の更新時間前後の活動が可能です…■2.仮決定が22時頃…本決定は6時30分頃が希望です…■3.穏やかに…過ごしたいです…突然死は避けたいですね…■4.あまり…人と話すのは上手くないただの旅人です…昼間は理由は詳しく話せませんが散発的にしか活動できません…□5.1000円です…まともな食べ物は久しぶりなので…それにお金なんてあっても使えなければただの荷物です…
プロローグ,行商人アルビン,霊能者,人が増えてきたねぇ。みなさんよろしく。３時のおやつってことでいろいろと作っておいたよ。みんなで食べてね。[レアチーズケーキ][ザッハトルテ][パンプディング][羊羹][フルーツゼリー][バニラアイス]小麦粉だめなクララもゼリーなら大丈夫かな？
プロローグ,司書クララ,狂人,>>22ペーター君は素敵な花かんむりありがとうございます。作り方、お姉さんに教わったんですか？>>28アルビンさんはお気遣い痛み入ります。ではお言葉に甘えて私はフルーツゼリーをいただきますね。あむっ…冷たくて美味しいです。
プロローグ,少年ペーター,村人,わーい、おやつだ！　アルビンさんありがとう！いただきまーす！　うわっ、このバニラアイスおいしー♪>>29えへへ、そうなの（照）僕のお姉ちゃん、とっても器用なんだ！
プロローグ,旅人ニコラス,村人,>>28私は羊羹を頂きます…これは美味しいですね…煉羊羹は長期保存が可能で旅の非常食にも最適なのですよ…それにしてもアルビンさんは料理が御上手ですね…商人よりも料理人の方が向いているのではないでしょうか？…
プロローグ,パン屋オットー,村人,>>15カタリナさん75円ですね。ｱﾘｶﾞﾄｳｺﾞｻﾞｲﾏｽ。　新作考案中です。期待してね。>>16ペーターくんお小遣い50円…　ガ○ガリ君も買えないね…　夏が来るのに…>>21クララさん今度、コメ粉のコッペパン用意しておきます。ﾓｯﾁﾓﾁに仕上げますね。
プロローグ,パン屋オットー,村人,>>20ジムソンさん100円っ!!ｱﾘｶﾞﾄｳｺﾞｻﾞｲﾏｽ。きっと小銭ｼﾞｬﾗｼﾞｬﾗがキライなんですね。わかります。>>27ニコラスさん…!!　1000円っ!?　アッ…ｱﾘｶﾞﾄｳｺﾞｻﾞｲﾏｽｯ!!　申し訳ないので特別に焼き上げてきました。つ[特盛りコッペパン]　通常の12倍のサイズです。ﾊｲ。
プロローグ,パン屋オットー,村人,それではﾜﾀｸｼはアルピンさんが容易してくれた…チーズケーキを戴くとします。…　ﾓｸﾞﾓｸﾞ　ｺﾞｯｸﾝ　…おっ、ｵｲｼｲ!!　おかげで新作のパンのアイディアが浮かびました。今夜のお夜食に準備しておきますね。乞うご期待っ!!
プロローグ,旅人ニコラス,村人,>>33では頂きますね…パクッ(一口で)…とても美味しいです…この村はオットーさんやアルビンさんのおかげで美味しい食べ物に困ることはなさそうですね…(ボソッ…)私自身は何も食べなくて平気ですが…この身体の方が保ちませんしね…味覚も共有ですし美味しい食べ物が食べれるのは有り難い…あ!なんでもないです…お気になさらないでください…決して帽子が本体とかそんなことは…少し喋りすぎましたね…
プロローグ,青年ヨアヒム,人狼,ちらっ
プロローグ,青年ヨアヒム,人狼,(嘘つきの村だって……？つまりは職歴を偽っても……)
プロローグ,青年ヨアヒム,人狼,(……虚しい)議題、答えるよー■1.22:00〜25:00頃。更新時間前後はいられると思う、多分。■2.仮23:30本06:30頃。■3.楽しむ■4.え、え、履歴書の空欄については触れないでくださいよ……あ、いえ、決してニートでなく……外に出るためのトレーニングをしていたんです(震え声)□5.大量に仕入れるから、安くしてくれないかい？え、お金……？後払い
プロローグ,少年ペーター,村人,ん？　ニコラスさん、何だか帽子が不自然に動いてるけど……ああっ！　まさかその帽子！……中にひよこを飼ってるんだね！？　ねえ、見せて見せて！
プロローグ,少年ペーター,村人,ヨアヒムさんはにーとなの？うちのお姉ちゃんはね、一目でにーとかそうじゃないか分かるんだって！今度会わせてあげるね！
