プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,青年ヨアヒム,村人,おはよー、ゲルト。今日も寒いねー。
プロローグ,青年ヨアヒム,村人,ん、床に紙が落ちてるよ。人数分あるみたいだけど･･･■１．コアタイム■２．仮決定・本決定希望■３．やってみたい、やりたくない作戦□４．何か一言！宿の受付の紙かなあ？
プロローグ,青年ヨアヒム,村人,僕もついでだから答えとくね。■１．21:00～24:00くらいかなー。学生だから、あんまり夜更かししちゃうと駄目だし。学生だから！(必死)■２．仮決定22:30、本決定23:00がいいかな。■３．特にないよー。□４．学生やってるよ！本当だよ！ダウトとか言わないで！僕が２番目かあ。誰か来てくれないかな。
プロローグ,パン屋オットー,人狼,………パン！
プロローグ,パン屋オットー,人狼,紙あるね！答たえるよ！■１．夜～24：00とか■２．仮22：15本2245とか■３．こだわりはないよー□４．まじめにパンやさんやってるよ！ほんとうだよ！「食べログやらせしてる」とか言わないで！ よく「あたまがパン」てゆわれるけど、そんなわけないじゃん。みんな大おげさだなあ。
プロローグ,パン屋オットー,人狼,飲みものでさあ、あるじゃん。テレビで、「レッドブル翼をさずける！」ってさ。……あれって結局のところレッドなのブルーなの？ヨアヒム紙ありがとねえー。よろしくねえー。
プロローグ,行商人アルビン,村人,宿はここかな
プロローグ,行商人アルビン,村人,受付用紙か・・・■1. その日によって違うけど、夜9時～深夜1時位かな■2. 仮決定と本決定は特に希望が無いから皆にあわせるよ■3. これと言って特にないかな□4. 鳩を使うことや離席することが多々あると思うけどよろしく頼む。卒論だりぃ(＞人＜;)
プロローグ,シスターフリーデル,占い師,参加します。
プロローグ,シスターフリーデル,占い師,1：夜です。不定期です。2：仮1時間前本30分前です。3：とくにありません4：鳩飼ってますので良く飛ばします。頑張りますね(^-^)/
プロローグ,青年ヨアヒム,村人,あ、オットーにアルビンにシスターさんだー。よろしくね。僕も鳩飼ってるから、マメに飛ばすようにするね。がんばろー！
プロローグ,旅人ニコラス,人狼,ふう、ただいま。いやぁ、旅って疲れるね。歩き回ってもうへとへとさ。
プロローグ,旅人ニコラス,人狼,あ、宿代はちょっと待って、僕の旅行記が売れれば…!って違うの？受付用紙？■１．不定期だね。■２．本22:45で。仮は特に希望無しさ。■３．村騙りは時と場合を選んで欲しい。他はまあ、楽しくやれたらそれでいいよ。□４．ん？僕が実は旅をしないで空想だけで本を書いてるって？だから僕の旅行記が売れないんだって？そんなわけないじゃないかおおげさだなぁ。僕の鳩は最新仕様だよ!
プロローグ,ならず者ディーター,村人,おじゃまするぜ
プロローグ,ならず者ディーター,村人,受け付けは済ませないとな■１．不定期だな。夜は顔を出す■２．本決定は2345までに。まあ合わせるぜ■３．いいエピを迎えられれば問題ない。そのために全力かつ和やかにやろう□４．狼討伐に派遣された遊撃士だ。よろしくな！鳩が多いのか。宿の見回り中は鳩が使えないので箱オンリーになりそうだが考察はしっかり残すようにするぜ
プロローグ,ならず者ディーター,村人,本決定ミスった。わるい、22時45分までに、だしばらく宿の構造を調べてくるわ。またあとでな
プロローグ,負傷兵シモン,霊能者,１ 不定期２ オンデマンド３ 臨機応変４ 全裸
プロローグ,木こりトーマス,村人,とりあえず今日の仕事は終わりやねー・・・なんやこの紙はよぉ・・・？
