プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,木こりトーマス,占い師,みんなー！　キリ番村に入りたいかー！入りたい！？　そうか！　ならばこの俺についてこい！峠の村のアリストテレス、トーマスに任せてくれれば君たちの望むものを全て、手に入れてあげよう！　創造してあげよう！俺についてこい！
プロローグ,パン屋オットー,霊能者,よう、トーマス小麦粉の創造をお願いできるかい？
プロローグ,木こりトーマス,占い師,さあ！　みんなにはもう議題が見えているな？　みんなのことを教えてくれ！■１．俺は時間を歪曲できるので２４時間コアタイム……と言いたい所だが俺も人間だから結局20時以降の妥当な所がコアになるんだなこれが■２．仮と本と更新は30分以上ずつ間隔が空いてれば文句ない！■３．キリ番に相応しい歴史に残りうる村にしたい！□４．専攻は林業だが大体何でもこなすトーマスだ！　人呼んで峠の村のアリストテレス！
プロローグ,負傷兵シモン,狂人,脚の創造頼むわ
プロローグ,木こりトーマス,占い師,おお、オットーじゃないか！　小麦粉を創造して欲しい！？　お前はパン屋だろう！　そんな大事なものを切らすんじゃない！　全くおっちょこちょいだな！まあわかった。俺にまかせろ！まずは土地の開墾からだな！
プロローグ,木こりトーマス,占い師,今度はシモンか！　こんな朝早いのに人の入りがいいことだな！　キリ番の魔力は恐ろしい！脚！？　いいだろう。鹿の脚ならすぐ用意できるぞ！ちょっと待ってろ！
プロローグ,少女リーザ,村人,おはよー…早起きってどうも苦手なのよねーなのでは幼稚園行ってくるの～
プロローグ,パン屋オットー,霊能者,■１．僕は不定期希望■２．2345までに本決定が出ればトーマスに追従■３．突然死、初参加CO、暴言だめ□４．パン焼きたい。パンを焼かないオットーはナントカ、って聞いたことがあるから＞トーマス　小麦粉の用意が土地の開墾からって…先が長いし創造神ぽくないよ。せめてヤコブの畑を借りるとかさシモンもおはよう
プロローグ,行商人アルビン,人狼,おはよぅ。ふーあ。眠い。ムニャムニャ。ん？なにを創造してほしいか？金。ムニャムニャ。ちょっと出かけてくる。ムニャムニャ。
プロローグ,司書クララ,人狼,朝から皆さんお元気ですね。
プロローグ,負傷兵シモン,狂人,屋＞おう、おはよう議題はちょっと後から答えるおいおい、みんな狙い過ぎだろ
プロローグ,シスターフリーデル,村人,おはようございます！
プロローグ,木こりトーマス,占い師,リーザ！　アルビン！　クララ！　フリーデル！　みんなおはよう！そしてアルビンだけか！　俺に何か創造して欲しいと言っているのは！　この村の女性陣は慎ましいな！　良いことだ！　だがもっと頼ってくれてもいいんだぞ！そして金の創造か！　十分な金があるのならば金融業を行うことをオススメするぞ！まずはそこまで金を貯蓄すること！　それが肝要だな！それじゃあ俺は小麦粉の創造のために土地を開墾してくる！
プロローグ,行商人アルビン,人狼,議題回答。ムニャムニャ。■1.21:00～24:45ぐらいだムニャ。■2.仮23:15/本23:45ぐらいでどうだムニャ？■3.第500村の名に恥じない戦いと村にしたいムニャ。□4.行商人のアルビンだムニャ。いかなる時も品物を売る姿はまさに商人の鏡だムニャ。出かけるのはやめて寝るムニャ♪
プロローグ,少女リーザ,村人,■１．リーは幼稚園児だから夜は大体いるよーなの。お昼は鳩を飛ばして不定期かなーって■２．いくらでも合わせれるから皆の時間に合わせるよ～なの■３．皆仲良くまったりやりたいの□４．私はまったり幼女リーザちゃんなの。トマさんがアリストテレスなら私は美の神アフロディーテかな？なんて私はｷﾘ番狙ってなんかないんだもんね><
プロローグ,青年ヨアヒム,狩人,一日中家で寝っ転がってても高収入、そんな仕事を創造してくれる益荒男が居ると聞いて。
プロローグ,パン屋オットー,霊能者,じゃあ僕はパン職人の神でありある意味創造神でもある、ジャムおじさんだよ
プロローグ,少女リーザ,村人,【私だ】神々の人狼村【お前だったのか】で名前が決まりそうな勢いで神増殖
プロローグ,パン屋オットー,霊能者,小麦粉がなくても作れるパンつ［キリパン］キリパンはみるみるうちに姿を変えたキリパンマン「やあ、ぼくは数字の味方。キリのいい数字が好きなんだ。だからこの発言も20getなんだよ」□5．なんの神様？
