プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,羊飼いカタリナ,狩人,人狼って怖いねー。
プロローグ,羊飼いカタリナ,狩人,＠；・ω・）めぇ～。リナちゃんメモ置いてっためぇ～！あ、ごめーん。これ皆に回してって言おうと思ってたんだけど忘れてたー。ありがとメリー。■1.コアタイム■2.仮決定時間・本決定時間■3.やりたいこと■4.自己紹介など
プロローグ,羊飼いカタリナ,狩人,さっそく自分で回答しよーっと。■1.不定期ー。変な時間にいたりいなかったりするよー。■2.仮決定23:45・本決定0:15でいいんじゃないかなー？■3.たのしい時間にしたいなー。■4.私？　羊飼いしてるカタリナだよー。＠・ω・）めぇ～。ひつじのメリーですめぇ～。おーぼーご主人様のリナちゃんをいつか追い落と何か言ったー？(((ﾟω ﾟ＠)))なんでもないですめぇ～。
プロローグ,青年ヨアヒム,占い師,妖狐なんているわけないじゃん、みんな大間違いだなぁ。
プロローグ,少女リーザ,村人,よろしくなの。
プロローグ,パン屋オットー,人狼,やーやーよろしく！
プロローグ,青年ヨアヒム,占い師,カタリナさん、リーザちゃん、オットーさんこんにちわ～。メリーさんいつも回覧板お疲れ様。いつものおやつをあげよう。つ[乾燥トウモロコシ]■1.21:30～01:30■2.仮決定23:45・本決定0:15■3.毎日喉を枯らす（役職にもよるけど）！■4.健康で楽しい村にしていきたいね。
プロローグ,シスターフリーデル,霊能者,はろーえぶりわん。毎日冷えますわね。[コーンポタージュスープ]をご用意してますから、こちらで身体を温めて下さいな。
プロローグ,シスターフリーデル,霊能者,■1.22時以降には大体いるはずです。　それ以外にも時々サボ…いえ、様子を見に来れると思います。　夜が明けたらすぐに眠ってしまう予定です。■2.お任せします。■3.楽しみましょう。■4.神に仕える敬虔なシスターです。　瞑想してるように見せかけてこっそりお昼寝するのがマイブームです。
プロローグ,羊飼いカタリナ,狩人,＠・ω・）めぇ～。ヨア兄ちゃんいつもありがとうだめぇ～。[ﾎﾟﾘﾎﾟﾘﾎﾟﾘﾎﾟﾘ]＠・ω・）リナちゃんズボラだし気が利かないしおやつくれないめぇ～。鬼の居ぬ間におやつだめぇ～。
プロローグ,少年ペーター,村人,■1.コアタイム更新時間前には余裕を持ってくるよ■2.仮決定時間・本決定時間23:45 ／ 0:15■3.やりたいことレベルうｐ■4.自己紹介などﾍﾟｯﾀﾍﾟﾀにしてやんよ
プロローグ,負傷兵シモン,村人,トラトラトラ！
プロローグ,負傷兵シモン,村人,■1.20:00～25:00あたりにちらほらと。■2.仮決定時間→23:45　本決定時間→0:15　纏め役の都合次第で多少のずれも許容。■3.可愛い子が見れればそれでいいぜ！■4.戦場で可愛い女の子のことばかり考えてたら隣の国の兵隊に銃で蜂の巣にされてこんなことになったんだぜ…療養させてくれると嬉しい。特に可愛らしい女性の愛のある介抱募集中。
プロローグ,ならず者ディーター,狂人,■１ 2000～0100 ただ申し訳ないけど日によっては仮本に立ち会えない可能性あり(基本いる予定だけど)本決め見たら基本寝る予定です■２ まかせます■３　突然死なし■４　こんな自分でよければどうかこの村においてください
プロローグ,司書クララ,村人,よろしくねー
プロローグ,司書クララ,村人,■1.不定期■2.仮2345本0015■3.楽しみたいです■4.司書ですよーあ、蔵書は漫画とラノベとアダルト雑誌しかありませんので悪しからず
プロローグ,青年ヨアヒム,占い師,リデルさん、ペタくん、シモンさん、ディタさん、クララさん、こんばんわ～。これで今日明日スタート決定ですか。なんかディタさんが礼儀正し過ぎて、シモンさんの方がナンパなならず者っぽく見えてくる……。>>17いつもお世話になってます。……え？　もちろん漫画とラノベの事ですよ？
プロローグ,羊飼いカタリナ,狩人,>>18＠；ーωー）ヨア兄ちゃんまた通いつめてためぇ～？　えろ本漁りも大概にするめぇ～。ただいまー。あれー？　どうしたのメリー？＠；ーωー）リナちゃんは知らなくていい事だめぇ～。
プロローグ,村長ヴァルター,村人,ズサー
プロローグ,負傷兵シモン,村人,お、結構人が増えてきたみたいだな。>>18いやいやヨア君ならず者じゃなくて愛の狩人とよんでくれたまえよ。それはそうと。（ここから小声）アダルト雑誌にこの村の女の子に似た子がいるかをチェックするのは紳士の嗜みだよな？
プロローグ,羊飼いカタリナ,狩人,＠；ーωー）そこの負傷兵さんがとっても挙動不審だめぇ～。わー愛の狩人！　かっこいいねー！　あ、コンポタだー♪＠；ーωー）リナちゃん……
プロローグ,行商人アルビン,人狼,ハローそして離脱！
プロローグ,村娘パメラ,村人,お邪魔するわよ～
プロローグ,司書クララ,村人,>>18そういえば普段ヨアヒムさんの借りてる本って…ああ、そっか、なるほどー……これからもご利用お待ちしております♪
プロローグ,村娘パメラ,村人,■1.23:00～更新後くらい。日中にも不定期に覗くわ。■2.仮23:45/本00:15位■3.荒れたり突然死とかは苦手。こう見えてナイーブなのよ私。■4.特技は武術全般。狼なんて殴り倒してやるわよ！
プロローグ,青年ヨアヒム,占い師,【兵の愛の狩人CO確認】【非対抗】対抗出たらロラしましょうか、リア充化ケア吊りですね。>>21（こそこそ）この前リナさんに似た子を見つけたと思ったら、あっという間にメリーさんにページ噛み千切られたよorz
プロローグ,負傷兵シモン,村人,>>22な、なにをおっしゃるのかなメリー君。……あ、そういやリナちゃん、そこのメリー君は♂なの？♀なの？♂ならこんな美人に飼われて爆発しろ、♀ならうん、あれだ。ちょっとここではいえないなもごもご。さてちょっとクララちゃんところの本を借りるとしますか。【君が衛生兵で歩兵が俺で】お、この村思ったよりもいい在庫揃えてんな。
プロローグ,仕立て屋エルナ,村人,ひょこっ！ボクはエルナ、よろしくね！
プロローグ,青年ヨアヒム,占い師,アルビンさんこんばん……ってもういない！？武術娘パメラさん、こんばんわ～。>>25クララさん、内緒、内緒！　後でアルビンさんからお菓子買ってプレゼントするから！
プロローグ,仕立て屋エルナ,村人,■1.不定期。本格参戦は７時らへんかな。■2.仮:23/30本:00/30。仮決定あたりはバタつくと思うから余裕を持ちたいね。■3.うん、楽しめたらそれで満足。■4.仕立て屋をやってるよ、よろしくね。
プロローグ,青年ヨアヒム,占い師,エルナさん、こんばんわ～。あっさりフルメンバーの予感。お昼頃まで、10人村のパターン復習しようかと思ってたのにｗ
プロローグ,仕立て屋エルナ,村人,>>32ヨアヒムくん、こんばんは。ボクで１４人目だっけか。年末が近いから意外と少ないと思ったんだけど、案外多いんだね。１０人村は色々めんどくさおっと誰か来たみたいだね
プロローグ,羊飼いカタリナ,狩人,>>27＠#・ω・）当たり前だめぇ～！　確かにリナちゃんみたいな金髪でリナちゃんみたいな髪型でリナちゃんみたいな体形だっためぇ～……んー？　どうしたのメリー？＠；ーωー）聞かない方が幸せめぇ～……>>28んー？　メリーならメスだよー？　どうかしたのー？＠・ω・）リナちゃん意味判ってないめぇ……
プロローグ,羊飼いカタリナ,狩人,>>26わーパメラさん頼もしいー♪　ねね、その武術って私でも習得できるのー？(((ﾟω ﾟ＠)))だだだだだだダメだめぇ～！！　リナちゃんにさらに腕力が加わったら手がつけられなくなるめぇ～！！　パメラさん出来ても秘密にしてくださいめぇ！！わはー♪　どんどん人が集まってるねー。
プロローグ,ならず者ディーター,狂人,この調子ならフルメン期待できそうですね>>32　ちなみに隣村少し覗いたら１０人村でしたよ
プロローグ,仕立て屋エルナ,村人,ずさー来いずさー！（わくわく隣村何回プロ延長されてたんだろうか。更新時間が時間だからそれもあるんだろうなぁ。１０人とか普通に縄タイト。この村のならず者が良い人な予感がする敬語の時点でならず者じゃないよね[…はディーターをなでなでした]
プロローグ,負傷兵シモン,村人,>>34♀　だ　と（きたああああきましたよスロットで言えばスリーセブンですよポーカーならロイヤルストレートフラッシュですよポケモンなら準伝説が１発で性格一致３V２Uですよヒャッホウ！！ほんわか系ご主人×真面目系従者ってもろドストライクですよね！）おっと失礼、ならば公平にエスコートしてさしあげねばなりませんね。自分の名前はシモンであります！負傷兵と呼ばずこの名前でよろしくお願いするであります！
プロローグ,青年ヨアヒム,占い師,ってヴァルさん、そんな所でズザーっと横たわってるもんだから気付きませんでした、スミマセン、そしてこんばんわ！……さっきからみんなに踏んづけられてるような？？>>34メリーさん、もう見ないから噛むのは勘弁ね、ページ破けてクララさんに怒られるのは僕なんだ(´；ω；｀)>>36あ～。結局10人になったのか～。この村に入るために、隣村の状況気にしてた人多そうですねｗ
プロローグ,負傷兵シモン,村人,>>27……泣こう。泣くしかないな。男の涙はここで使うべきだ。近くの居酒屋で飲もうぜ、御代くらいはもってやるから、な……。（でもメリーちゃんも♀なんだよな……もしかして嫉妬か、嫉妬なのか、だとしたら男心をくすぐりますな……。）
プロローグ,羊飼いカタリナ,狩人,>>38＠・ω・）キモいめぇ。おおー。よろしくねシモンさーん。Σ（・ω・＠>>39＠# `ω´）ちゃんとヨア兄ちゃん狙ったのに避けるからだめぇ！あれー？　新しい絨毯仕入れたと思ったらそんちょさんだったのー？＠；ーωー）リナちゃん……気付かなかったのかめぇ～？
プロローグ,村娘パメラ,村人,>>26　うん、まずは地道なトレーニングが一番よ。リナちゃんだったらその杖で毎日素振りしてるだけでも大分違ってくるわよ。その杖ちょっと貸してね。（そのままぶんぶんと素振り→ガッシャーーンと壺が割れる音）あ…（顔面蒼白）　こ、こうやって地道に鍛えていけばすぐに強くなれるわよ！…はいごめんなさい後始末します…みんな足元に気をつけてね！>>36　（隣村の状況気にしてた人ノ）
プロローグ,仕立て屋エルナ,村人,>>36気になりすぎて毎日覗いてたノ>>42大丈夫？危ないから触らないほうがいいね。ボクが片づけるよ。
プロローグ,ならず者ディーター,狂人,【ディータはなでなでされた】なでなでされちゃいましたね。いやーこの年になってお恥ずかしい限りで：：す；；；；；【エルナだと思っていたのは実は狼だったＣＯ】【なでなでされたと思っていたら実は噛まれていただけだったＣＯ】このままじゃ村の皆が狼に食われてしまう。(大声で)皆、俺にかまわず先に行けーーーーーーーー
プロローグ,老人モーリッツ,村人,ばんわなのじゃー
プロローグ,仕立て屋エルナ,村人,>>44な、なんだってー（棒君ちょっとコッチ来ようか。大丈夫、全然まったく怖くないから……ね？[…は笑顔で真っ暗な部屋を指差し、ディーターの肩を思いっきり掴んだ]お、モーリッツおじいちゃんこんばんわ！
プロローグ,羊飼いカタリナ,狩人,>>36わーホントだー。いろいろ違うんだねー。＠・ω・）向こうは平和そうだめぇ……メリーに被害が出たりとかしてないめぇ～。>>42わー♪　それじゃ素振りから始めるのー♪えい！　えい！　あ（すぽっガツン）＠；ω；）痛いめぇ……
プロローグ,旅人ニコラス,人狼,ずさりんこ
プロローグ,仕立て屋エルナ,村人,フルメンきたね！ニコいらしゃ！
プロローグ,負傷兵シモン,村人,>>38くっ。でもシモン負けない。リナちゃんのその笑顔がある限り！とりあえずまずはあれかな、メリーちゃんの好物は牧草で大丈夫なのかな。>>42　>>43おっとパメラちゃんもエルナちゃんもその美しい手に傷がついては大変です。ここはこのシモンにお任せあれ！とりあえずほうきほうき……。
プロローグ,老人モーリッツ,村人,■1.夜メインじゃろうか■2.仮　更新１時間前・本　更新30分前■3.やりたいこと…ぱふぱふじゃの■4.無店老師モーリッツじゃ、や、実際店はあるんじゃがなぁ…息子がやってるけど。
プロローグ,負傷兵シモン,村人,と、ほうきでさっさかさーしてたらいつの間にか１６人揃ったんだな。これは楽しくなりそうだ。>>36いまさらだけど　ノ（隣村の時間は遅すぎておそらく寝ちゃってる時間なのが問題だよなあ）
プロローグ,司書クララ,村人,フルメンですねー>>30あれー、言わない方が良かったですか？お菓子楽しみにしてますね>>44ディーターさんなでなでー[…はディーターの顎を撫でている]
プロローグ,羊飼いカタリナ,狩人,わー♪　これで村の皆が集まったねー♪お祝いにひつじのステーキでも振舞おうかなーっと。＠；・ω・）！？！？！？！？>>50え、うんー。牧草以外の物なんて食べさせてないよー？＠；ω；）めぇ～。おーぼーリナちゃんがおやつくれないんだめぇ……
プロローグ,仕立て屋エルナ,村人,>>50あ、シモンありがとう。でも大丈夫、ほうき持ってるしボクがやるよ。仕立て屋という職業上、どうしても手には傷が付くし傷の一つや二つ平気だよ。[…は割れた壺を手早く片づけた]
プロローグ,旅人ニコラス,人狼,■1.不定期素敵■2.お好きにどうぞ■3.可愛い子と色々■4.可愛い子とぱんつが好きです。可愛い子のぱんつはそんなでもないですやっぱり好きです。
プロローグ,負傷兵シモン,村人,>>51モーリッツ老師、３には私も賛成でございます！最近は小さくても一生懸命にやってる姿がたまらないと思う派なのですがこの考え方はまだまだ未熟でしょうか！（……なう掃除中）
プロローグ,老人モーリッツ,村人,おぅ、フルメンじゃのぅ…これで店も繁盛するというもんじゃ
プロローグ,司書クララ,村人,>>54メリーさん、いつも大変そうですねー…図書館の蔵書でも食べてみますか？あ、ヤギじゃないし紙は食べないか
プロローグ,老人モーリッツ,村人,兵>>57シモンは貧乳派なんか…貧乳はステータスじゃ！まぁ、んなこといっとるわしは巨乳派じゃけどね…。
プロローグ,シスターフリーデル,霊能者,メリーさんもふもふ。こんばんは、みなさん。よろしくお願いしますね。
プロローグ,村娘パメラ,村人,>>43、>>50　ルナさんシモンさんっ大丈夫！　あたしがやるよっ！！　でもありがと、みんな優しいんだね♪>>47　きゃーっメリーちゃんが！！（なでなで）かわいい…なでなでしていい？（既に撫でてます）掃除している間にいっぱい人集まったわね。個別に挨拶できなかったけどみんなよろしくね！…一部男性のセクハラ率が高いような気がするのは気のせいかしら…
プロローグ,負傷兵シモン,村人,（ちょっとディー君がうらやましい気がする……控えめ系男子ってのは最近の流行なのだろうか）>>55それじゃあまあ手伝ってもらうってことで。手に傷がついちゃうのは職業柄とは言え、職業の名誉の傷以外の傷をつけちゃうわけにはいきませんからね！では一緒にほうきでも。ほうきで掃くだけなら、注意すれば傷はつかないはずです！
プロローグ,老人モーリッツ,村人,旅>>56可愛い子のぱんつはそんなでもないですやっぱり好きです。つまりじーちゃんのパンツでもいいんか！！アーッ！オソロシイ…
プロローグ,ならず者ディーター,狂人,ふう・・・なんとか狼は巻けたようですねでも狼は村の方に行ってしまいました皆さんはもう逃げているのでしょうか大丈夫ですよねなんたってあの村には愛の狩人がいるんですから。【ディータはエルナに暗い部屋に連れ込まれた】【ディータはア語をなでられている】ひょっとして私はこのままエルに欲望のままに体を蹂躙されてしまうのでしょうか(怖)(しかしさっきエルナが狼を呼べたのは一体どうして)
プロローグ,旅人ニコラス,人狼,兵>>57未熟だ、未熟だね、ステータスだ、希少価値だとのたまうその胸、そういうならばまず君は服を脱いで鏡の前にたちたまえ、君の求める希少なものがそこにはある。
プロローグ,ならず者ディーター,狂人,フルメンモリさんニコさんよろしく
プロローグ,仕立て屋エルナ,村人,とりあえずシモンさん変態co把握済み。吊ろう。>>63ありがとう、シモン。ボクみたいな男女のことを女扱いする人初めて見た。>>65[…はディーターに説教をしている]だーれが狼だ、誰が！
プロローグ,羊飼いカタリナ,狩人,みんなー！　ちょちょっと戻ってお祝いの品持ってきたよー！っ[子羊のステーキ（レア）]＠；ω；）メリーのきょうだいがめぇ～……>>59＠；・ω・）……お気持ちだけいただくめぇ。>>62うん、いいよー♪＠#・ω・）めぇ～！　セクハラするような男がいたらメリーが噛みついてやるめぇ！！
プロローグ,負傷兵シモン,村人,>>60老師殿、あえて言わせていただきましょう。「それは違うぞ！」重要なのは胸の大きさよりもサービス精神だと思うのです！一生懸命にやっている姿こそ！私にはたまらんのです！>>66鏡の目の前に写っているものはイケメンだけどこれは、なにか、違う
