プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,ならず者ディーター,村人,ねむてーなオイ
プロローグ,少年ペーター,村人,村に人狼が紛れ込んでいるたあ、怖いのう。父さんにも伝えとこうかの。
プロローグ,神父ジムゾン,人狼,にゃー！
プロローグ,神父ジムゾン,人狼,人狼とか迷惑にゃ。危険性の無い人猫まで怖がられるにゃ。おっさん猫に需要はない？　需要がなくても生きているものはしょうがないよね。十年ちょっと前ならショタ猫だったのに、お目にかけることができなくて残念だね。ほっとけにゃ。耳がない？　耳は齧られた。ネズミに。全体的に青い猫はそういう運命にゃから、ご理解頂けるかと思うにゃ。
プロローグ,神父ジムゾン,人狼,　テンプレアンケートもってきたにゃ。猫が借りてきた。わかってほしい、このありがたみ。■1.コアタイム■2.決定時間について■3.やりたいこと/やりたくないこと□4.自己紹介
プロローグ,神父ジムゾン,人狼,■1.不定期にゃ。猫に計画性を求める方がどうかしてるにゃ。■2.更新の三十分前には本決定出ているのが望ましいにゃ。この村だと00：15かにゃ。仮の目安は更にその30分前かにゃ。■3.おもしろければそれでいいにゃ。□4.(」・ω・)」うー！(／・ω・)／にゃー！
プロローグ,パン屋オットー,村人,おう、よろしくな！今朝は朝からパンの仕込みが忙しかったよ
プロローグ,パン屋オットー,村人,■1、こちらも不定期です。決定時間にはいるようにしますんで■2、了解しました■3、盛り上がりたい
プロローグ,少年ペーター,村人,■1.22:30過ぎかのう■2.神父さんの提案に同意じゃ■3.楽しくプレイしたいんよ□4.一人称は「わし」じゃが、あまり気にせんでほしいのう
プロローグ,ならず者ディーター,村人,■1.不定期。決定前後はいる。■2.23:45/00:15。まあ30分前だな。■3.楽しくやろうぜ/流行病は出てほしくねえな。□4.人生ぐーたらしてナンボおはよーさん。…ってもうこんな時間かよ、寝過ぎた。神父猫は議題サンクス。おっさん猫…いいんじゃね？　え、飯は何食うの？　猫缶？
プロローグ,旅人ニコラス,村人,やぁ
プロローグ,旅人ニコラス,村人,この先数日はこの村に置いてもらおうかな■1不定期だね、決定前後はいるように努力するよ■2神父さんにのっかりで■3リアルで萎える人が出ないようにしたいかな
プロローグ,神父ジムゾン,人狼,者>>11　昔、鹿児島に遊びに行った友人に、「お土産は何がいい？」って聞かれたにゃ。「じゃあ軽羹（かるかん）お願い」って言ったら、妙な顔されたにゃ。思えばこの時、気づくべきだったにゃあ。そうすれば、返ってきた友人にカルカン（猫缶）渡されて、呆然とすることもなかったにゃ。
プロローグ,神父ジムゾン,人狼,　ぼくは迷った。曲がりなりにも友人のお土産を無下にしてよいものかと。考えぬいた結果、その夜のうちに猫缶は空缶へとまっしぐらの運命を辿ったにゃ。　これが、ぼくが人猫として目覚めた最初の産声にゃ。　前段までは実際にあったことにゃ。　あと多分、友人には悪意があった。あれはぜったい悪意のある友人にゃ。
プロローグ,ならず者ディーター,村人,＞神父猫友人愉快すぎｗｗｗかるかんｗｗｗ良いじゃねーか、おかげで人猫に目覚めて。この村に猫缶あったか…？　まあ猫好きなヤツがいたらエサもらえんだろ。腹減った、飯は支度がめんどくせ…パン屋なにか焼かねーかな。
プロローグ,行商人アルビン,人狼,ふー、酷い雪だ。ちょっとこの村で休ませてもらおう。
プロローグ,シスターフリーデル,霊能者,皆さま、よろしくお願いいたしますわ。
プロローグ,行商人アルビン,人狼,■1.23:00～25:00辺りには着席してるよ■2.仮決は1時間前、本決は30分前■3.楽しくやろう。/流行病にはかかりたくないものだね。□4.寒い日にはコタツで丸くなりたいタイプだよ
