プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,旅人ニコラス,村人,雨が止まないでござる…暫し、宿泊させて頂きたいでござる
プロローグ,旅人ニコラス,村人,拙者、故郷であるこの村へ最近戻ったばかりであるがそうか、人狼…　物騒になったものでござるな。おおげさなどと言わず、警戒すべきでござるよ？
プロローグ,旅人ニコラス,村人,ほう、回覧板とな。見える場所へ置くでござる。■1.コアタイム■2.仮･本決定の希望時間■3.戦術等で言っておきたいこと□4.大げさでござるか？
プロローグ,旅人ニコラス,村人,■1.深夜0:00過ぎ、日中も時折。日によりけり。■2.仮1：00、本1：45でどうでござろうか■3.好き嫌いはないでござるよ□4.大げさでござるな。割と、な。
プロローグ,神父ジムゾン,村人,オー！サメラーイ！ワタシ、遠イ遠イイスパーニャーヨリ来キマーシタ、ジメゾンデース。此処モジメジメシテー、私ノ名前トオナージネー！サア、皆サンモ、ジメジメーシマショー♪
プロローグ,神父ジムゾン,村人,回覧バーン？HAHAHA…ワターシ漢字ヨメーナイネー！テケトウ二答エルヨー！■1.昼ト夜中（更新前後ネー）■2.オー、時間デスカー？1：30→2：00ガ良イラシイデース♪■3.ワタシ実ハ国王様ノ勅命受ケテマース！サメラーイノ国？開国サセルトイウ、大命デース！hahaha…□4.アケヌナラ、ホロボシチャウゾ、ホーホケキョ…コレハ大袈裟ナ事デハアリマセーン♪HEY!ドーシマースカー？
プロローグ,神父ジムゾン,村人,トリーアエーズ、芸者ガール待ツデース！ワタシ知ッテマスヨー？オー！イラーン！…トカ言ウ女性？HAHAHA!オサーケ一緒ニ飲ンデクレマース！アチーキハ、オー！イラーン！デ、アリーンスネー！ドーデスカー？アッテマースカー？HAHAHA!
プロローグ,神父ジムゾン,村人,因ミニ、ワタシ0：00前後ハ、オー！イラーン！ト、キャッキャウフーフネー。頑張ルケドー、多分オ話出来ナイノヨー！オー、悲シイケド仕方ナイノヨーウ
プロローグ,旅人ニコラス,村人,ジメゾン殿か。宜しく頼むでござる。花魁…　こ、此処に来るのでござる…か？拙者、早々に部屋にて休もうかと思ったでござるが、少々待つ事にするでござる………こ、興奮なんてしてないでござる、よ？
プロローグ,神父ジムゾン,村人,オホホー！花魁デースカー！ワタシ間違エテマーシター！スマンチョスマンチョデース
プロローグ,神父ジムゾン,村人,ワタシノ国イスパニョールデハー、花魁チョー有名ネー！国王様、花魁アソービシタクテー、コノ国開国サセヨートシテマース！…オウ、シット！国家クラスノー、秘密シャベリヤガリマーシター！HAHAHA…
プロローグ,神父ジムゾン,村人,オーオーオイラーン♫アチーキ言葉ーノオーイラーン♪ワッチガー、花魁デー、アーリーンスー！本国デ流行ッテル、オイランオンドー、トカイウ奴デース！
プロローグ,神父ジムゾン,村人,シテ、ニコラスサメラーイ？ソノ帽子ノ中ハ、チョンマゲーデスカー？…オー、私ノ帽子…ゲフンゲフン…ワタシノ髪ハ見ナクトモイイノデース！
プロローグ,旅人ニコラス,村人,ぬっ、そんなつもりでこの国に来たでござるか…残念ながら昨今では拙者、もう何年も花魁も舞妓も目にしていないでござる…もしや、ジメゾン殿の国が攫っていってしまったのではとか、恐ろしい事が過ぎったでござる…
プロローグ,旅人ニコラス,村人,この帽子の中でござるか？もちろんチョンマゲでござるよ。しかし二古裸須家では代々、「男児髷を衆人に晒すことなかれ」という伝えがあるのでござる。何故なのかは、拙者もよくわからないのでござるが。
