プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,少年ペーター,村人,おっはよー。みんな早く起きないとだよー。せっかくの日曜日なんだから、朝から行動しようよ。ね、ね！！リーザちゃんにパメラおねーちゃん、エルナさんにカタリナねーさま。あとレジーナおばさんも、みんな楽しくいこー！
プロローグ,少年ペーター,村人,議題とか必要なのかな？そこらへんは、たぶん村長さんやニートのヨアヒムさん、それにしっかりもののトーマスさんとか、飲んだくれだけどやる時はやると言ってやる時を誰も見たことのないディーターにーちゃんとかが出してくれると思うので、僕はちょっとお散歩してきまーす。
プロローグ,ならず者ディーター,占い師,よっ！邪魔するぜ。……おいおいペーター俺だってただ飲んでるだけじゃなく、やるときはやる男だぜ？
プロローグ,ならず者ディーター,占い師,とりあえずご希望通り議題、置いておく。■1. 参加時間帯■2. 仮決定・本決定希望時間■3. 自己紹介
プロローグ,ならず者ディーター,占い師,■1.不定期だ。夜も酒を飲みに宿に集まるようにはする。■2.仮決定22：00/本決定23：00■3.かわいい女子からのチョコレートや酒ならいつでも受け付けてるよ。よろしくな。それじゃあ、俺もちょっとまぁふらふらしてくるかね。
プロローグ,司書クララ,村人,こんにちは皆さんあら、私は仲間はずれですか？ペーター君
プロローグ,司書クララ,村人,■1. 20：00～23：30くらいによくいますよ■2.ディーターさんと同じくらいがいいですね■3.本のことなら任せてください！ああそうだ、皆さんの分のチョコを作らないとですね！
プロローグ,村娘パメラ,村人,はぁ……あ、みんな、こんにちわ。朝から、レジーナさんにお願いして宿の厨房をお借りして作業しておきながら、成功したのはこれ一つかぁ。ま、他のみんなの分はちゃんと出来たから良しとしましょう。本番は明日だし。あとはラッピングでなんとか。
プロローグ,村娘パメラ,村人,■1. お仕事の合間にも発言は出来ますが、基本はやっぱり夜かなぁ。出来るだけ頑張ります！■2. 仮決定22:15/本決定23:15■3. 頼りになるお姉さんを目指して！もうお昼もこんな時間なのね。でも、この盆地にある村で、せっかくお日様が出ているんだからお洗濯しなくっちゃ！　でも、また雪でも降ったら大変だもの。水は冷たいけど頑張るわよ！　(・∀・)９ 
プロローグ,旅人ニコラス,人狼,やぁ、ふふふ。こんな所に村があったんだね。宿屋って何処だい？荷解きして落ち着いたら、議題に答えるよ。
プロローグ,旅人ニコラス,人狼,■1.20:00〜24:00 基本夜しか来れないよ。■2.本決定は23:00位がいいなあ。仮は別にいつでも良いや。任せるよ。■3.ふふ。寒いのは得意だけど嫌いなんだ。室内でもマントは外せないよ。こんな雪の降りそうな季節じゃね。
プロローグ,少年ペーター,村人,こんにちは~。あ、クララさん、ごめんなさい＞＜　ついつい影がうす、、、静かでお淑やかだから。えーっと、議題に答えるね！！■1.夜がメインかなー。昼間も覗いたり、たまに発言できるかもー。■2.仮決定22時、本決定23時くらいでいいんじゃないかなー？■3.いつでも元気にがんばるよ～♪
プロローグ,少年ペーター,村人,チョコ大好き！！キレイなおねーちゃん達、楽しみにしてるよ♪
プロローグ,羊飼いカタリナ,村人,人狼ってほんまにおんの？
