プロローグ,楽天家ゲルト,村人,人狼なんているわけないじゃん。みんな大げさだなあ
プロローグ,少女リーザ,狩人,ううん、狼さんは居るのじゃーん、リーの今年のHalloweenは狼さんなの！ゲルトお兄ちゃん、ちょっと早いけどTrick or treat♪
プロローグ,農夫ヤコブ,村人,僕はヤコブ。農夫に成りゃ飯に困らないと聞いて数年前に海を渡ってこの村に来て農夫になったんだ。この村にはきっと金鉱脈が封印されているんだろうね。隣村ではジャガイモの疫病が流行っていると聞いたし、うちの農作物もダメになったら炭鉱夫なろうかな。僕の畑で採れた自慢のジャガイモを調理したから、よかったらみんなで食べてね[アイントプフ][ポテトグラタン][蒸かした芋][じゃがいもの明太子和え]
プロローグ,少女リーザ,狩人,狼さんだから赤議題をおいておくの■1.コアタイム■2.決定時間■3.やりたいこと／やりたくないこと■4.自己紹介
プロローグ,負傷兵シモン,人狼,俺はシモン。兵士に成りゃ飯に困らないと聞いて数年前に血の海を渡ってこの村に来て足を負傷したんだ。この村にはきっと俺の取りこぼした幸運が封印されているんだろうな。隣村では兵士間の疫病が流行っていると聞いたし、俺の足もダメになったらニートになろうかと思っている。
プロローグ,負傷兵シモン,人狼,■1.適当■2.00:00/00:30くらいで■3.楽しめれば何でもOK■4.実は俺も狼さんなんだ。
プロローグ,少女リーザ,狩人,セルフ回答なの■1. 22時～なの。昼間はお留守なの■2.60/30分前で良いと思うの■3.みんなで楽しめるのが一番なの　　初日全員COとか、何か案が有れば乗るの■4.リーはね、Halloweenの日だけ狼さんになるの！(｢・ω・)｢がおー、なの！え、この村に何かが封印されてる？な…なにも無いよう！おおげさなの！！(リーの右目の事、ばれてないよね…ドキドキ)
プロローグ,行商人アルビン,村人,よっこらしょっと。やっと宿に辿り着いたよ。ぼくはアルビン。商売をやっているよ。でも、売り物は無いんだ。むしろ珍しい品を仕入れにここまでやってきたんだよ。だから、他国で高く売れそうな名産品・変わり種があれば是非ぼくのところまで持ってきておくれ
プロローグ,青年ヨアヒム,村人,僕はヨアヒム。皆にニートだって言われるけどそんなことないよ。仕事は昼間に猫と戯れることだよ。決してニートなんかじゃないんだから！
プロローグ,負傷兵シモン,人狼,(｢・ω・)｢がおー
プロローグ,少女リーザ,狩人,ヤコブお兄ちゃんこんばんはなのリーは勇敢な女の子になりたいから蒸かした芋をもらうの(もきゅもきゅ)うん、とっても美味しいの！イタズラ免除なの！兵士のお兄ちゃんは、もうお足ケガしてるの…ヨアお兄ちゃんみたいになるの？
プロローグ,行商人アルビン,村人,そうか、ハロウィンの季節だねえ。リーザちゃんは狼の仮装とはこれまた珍しい。さて、議題とやらに答えておくよ。■1.22時以降かな■2.仮00:15　本00:45くらいがいいかな■3.みんなで楽しくやろうねえ、　　それだけだよほんと■4.(｢・ω・)｢がおー
プロローグ,青年ヨアヒム,村人,■1.２１時から寝るまで■2.できるだけ早めに■3.皆でハロウィンパーティーしたい！■4.ニートじゃないから昼間はいないよ！(｢・ω・)｢がおー
プロローグ,パン屋オットー,狂人,ぼくはオットー。パン屋をやってるよ。ぼくには大好きな兄がいて、兄のためだったらなんだってするよ。この前も兄に悪い虫がついたからぼくが話をつけにいってあげたんだよね。なんてったってこのフランスパンはすごく固いからね＾＾頭を押さえて痛そうにしてたけど、兄を誑かすのが悪いのさ。兄っていうのは赤髪のあの人なんだけど、まだ宿には着いてないみたい。
プロローグ,負傷兵シモン,人狼,オットーの禁断の愛を確認した
プロローグ,行商人アルビン,村人,ヤコブ、珍しい野菜があれば都会に流通させるから是非言っておくれ。オットーの珍しいパンもツウシンハンバイとやらで都会に売ってあげよう。シモンも珍しい武具があったら教えてくれると嬉しい。ヨアヒムは…にーとだからいいや
プロローグ,少女リーザ,狩人,>>9リーも！リーも！リナお姉ちゃんの羊さんをもふもふしたり、ワンちゃんナデナデしてるよえへへ、リー働き者？>>12んとね、リナお姉ちゃんに「何が一番怖い？」って聞いたら、狼さんって言ってたのだからリーの仮装は狼さんなんだよ！(｢・ω・)｢がおー ！
プロローグ,少女リーザ,狩人,>>14お兄ちゃんが虫に刺されたら危ないもんね！でもフランスパンでも潰れない虫……なんだか怖いの
プロローグ,負傷兵シモン,人狼,>>16前洞窟の中で見つけた呪いの剣はどうだ？男性が持つと呪われるが、女性が持つと多大なる祝福を受けられるという……
プロローグ,パン屋オットー,狂人,■1.不定期。日によってちょっと遅めだったりするかもしれない。■2.1時間前/30分前希望で。■3.楽しくやろうね。仲良く殴り愛しよう。■4.(｢・ω・)｢がおー
プロローグ,行商人アルビン,村人,おお、いいじゃないかシモンうむ、じゃあ男性に売って呪われて手放したところをまた売って…何度も売って儲けるとしよう広告はあれだ、「ぼくこの剣でこんなに幸せになりました！」って都会でよく見るあれで間違いない
プロローグ,パン屋オットー,狂人,>>15もしかしたらぼく女の子だったりするかもしれないよ？>>18うんうん、危ないよね。だからぼく、追い払ってあげたんだ。もう二度と近づけないようにしないと大変だもんね。[…はニコニコ笑ってリーザを撫で撫で]あ、そういえばもうすぐハロウィンか。ちょっと早いけどりーちゃんにはこれをあげる。っ[シナモンロール]
プロローグ,負傷兵シモン,人狼,>>21またあくどい事を考えてるな、アルビンは。そういうお前も嫌いじゃないが。>>22ふむ。オットーにはこれを差し上げようつ[呪いの剣]
プロローグ,青年ヨアヒム,村人,好きな人かー僕にもいるけど叶わないんだオットーの恋を応援してるよお兄さん早くくるといいね
プロローグ,パン屋オットー,狂人,>>16ぼくはお兄ちゃんに毎日美味しいパンを食べさせてあげられればいいからお金儲けにはあまり興味がないんだけど…でもぼくの作ったものを食べて喜んでくれる人がいたら嬉しいよね。何か出せるものがないか考えてみるよ。
プロローグ,少女リーザ,狩人,>>21oO（それだとアルビンお兄ちゃんも呪われちゃうの）>>22うわあ！ありがとうなの！オットー…えと、お姉ちゃん？リーもお礼に、お兄ちゃんに虫がついてたら、てしてしするの！大きな虫は怖いけど…リーは狼さんだから頑張るの
プロローグ,パン屋オットー,狂人,ち、ちがうよ！男の子かもしれないし女の子かもしれないのさ(；・д・)！謎があった方がいい感じでしょ？今晩は冷えるから何かあったかいもの作ろうか。っ[オニオングラタンスープのパイ包み]みんな、ご自由にどうぞ。風邪を引かないようにね。…美味しくできたのにな、お兄ちゃん早く帰ってこないかなあ。
プロローグ,パン屋オットー,狂人,>>24こ、恋っていうか、その、大事に思っているというか、そんな感じだよ…ヨアヒムにも好きな人がいるんだねえ、応援するよ。プレゼント選びなら付き合うよ？>>26ふふ、お兄ちゃんでいいよ。男ってことになってるからね。悪い虫をやっつけるのを手伝ってくれるのは嬉しいなあ、ありがとう(なでなで)
プロローグ,負傷兵シモン,人狼,>>28[...は暖かい目でオットーを見ている]
プロローグ,パン屋オットー,狂人,>>29な、なに見てるんだよ…！[…はフランスパンで顔を隠した]
プロローグ,少女リーザ,狩人,>>28大事に思ってる人は>>14オットーお兄ちゃんのお兄ちゃん…>>30シモンお兄ちゃんに見られると恥ずかしい…>>14お兄ちゃんは赤い髪　　お兄ちゃんについてた虫を追い払うために、頭を固いフランスパンで殴った…　　頭を押さえていたそうにしてた…虫の頭とは言ってない…シモンお兄ちゃんの頭の傷…謎はすべて解けた！(ビシィ
プロローグ,少女リーザ,狩人,それにしても眠いの…リーそろそろ寝ちゃうかもしれないの…[…は灰包みを食べながらウトウト]
